Model,GOF Recall,LOF Recall,Neutral Recall
214,0.77,0.87,0.91
202,0.77,0.87,0.91
31,0.77,0.63,0.9
392,0.77,0.88,0.91
363,0.77,0.87,0.92
229,0.77,0.87,0.91
361,0.77,0.87,0.92
350,0.77,0.87,0.92
341,0.77,0.87,0.92
342,0.77,0.87,0.92
182,0.77,0.86,0.92
344,0.77,0.87,0.92
345,0.77,0.87,0.92
346,0.77,0.87,0.92
360,0.77,0.87,0.92
348,0.77,0.87,0.92
349,0.77,0.87,0.92
148,0.77,0.85,0.92
351,0.77,0.87,0.92
354,0.77,0.87,0.91
359,0.77,0.88,0.92
358,0.77,0.88,0.92
352,0.77,0.88,0.92
356,0.77,0.87,0.92
355,0.77,0.87,0.92
230,0.77,0.87,0.91
353,0.77,0.87,0.92
222,0.76,0.87,0.92
241,0.76,0.87,0.91
240,0.76,0.87,0.91
211,0.76,0.86,0.91
212,0.76,0.86,0.91
239,0.76,0.87,0.91
227,0.76,0.87,0.91
237,0.76,0.87,0.91
236,0.76,0.87,0.91
235,0.76,0.87,0.91
221,0.76,0.87,0.92
233,0.76,0.87,0.91
232,0.76,0.87,0.91
213,0.76,0.86,0.91
242,0.76,0.87,0.91
215,0.76,0.87,0.91
224,0.76,0.87,0.92
223,0.76,0.87,0.91
218,0.76,0.87,0.91
219,0.76,0.87,0.92
220,0.76,0.87,0.92
319,0.76,0.87,0.92
243,0.76,0.87,0.91
244,0.76,0.87,0.91
337,0.76,0.87,0.92
340,0.76,0.87,0.92
343,0.76,0.88,0.92
357,0.76,0.87,0.91
364,0.76,0.88,0.91
370,0.76,0.87,0.92
373,0.76,0.87,0.92
375,0.76,0.87,0.92
376,0.76,0.88,0.92
377,0.76,0.88,0.92
378,0.76,0.88,0.91
379,0.76,0.87,0.92
380,0.76,0.88,0.92
381,0.76,0.87,0.91
382,0.76,0.87,0.92
383,0.76,0.87,0.91
384,0.76,0.88,0.91
385,0.76,0.87,0.92
386,0.76,0.87,0.91
387,0.76,0.87,0.91
389,0.76,0.87,0.91
390,0.76,0.87,0.91
391,0.76,0.88,0.91
396,0.76,0.88,0.91
397,0.76,0.88,0.91
332,0.76,0.87,0.92
323,0.76,0.87,0.92
322,0.76,0.87,0.92
294,0.76,0.87,0.92
246,0.76,0.87,0.91
249,0.76,0.87,0.91
251,0.76,0.87,0.91
281,0.76,0.87,0.91
282,0.76,0.87,0.92
283,0.76,0.87,0.92
284,0.76,0.87,0.92
285,0.76,0.87,0.92
286,0.76,0.87,0.92
291,0.76,0.87,0.91
292,0.76,0.87,0.91
300,0.76,0.88,0.91
321,0.76,0.87,0.92
301,0.76,0.87,0.92
303,0.76,0.87,0.92
304,0.76,0.88,0.92
307,0.76,0.87,0.92
308,0.76,0.87,0.92
309,0.76,0.87,0.92
311,0.76,0.87,0.92
314,0.76,0.87,0.92
315,0.76,0.87,0.92
318,0.76,0.87,0.92
206,0.76,0.87,0.91
209,0.76,0.86,0.91
250,0.76,0.87,0.91
150,0.76,0.85,0.91
156,0.76,0.85,0.91
186,0.76,0.86,0.92
185,0.76,0.87,0.92
183,0.76,0.86,0.92
171,0.76,0.86,0.92
159,0.76,0.86,0.92
158,0.76,0.86,0.92
157,0.76,0.86,0.92
155,0.76,0.85,0.92
188,0.76,0.86,0.92
154,0.76,0.86,0.91
153,0.76,0.85,0.91
151,0.76,0.85,0.91
149,0.76,0.85,0.91
137,0.76,0.85,0.91
136,0.76,0.85,0.91
120,0.76,0.85,0.91
187,0.76,0.86,0.92
178,0.76,0.86,0.91
189,0.76,0.86,0.92
197,0.76,0.86,0.91
204,0.76,0.87,0.91
141,0.76,0.85,0.92
190,0.76,0.86,0.92
201,0.76,0.86,0.91
200,0.76,0.86,0.91
140,0.76,0.85,0.92
198,0.76,0.86,0.91
205,0.76,0.86,0.91
36,0.76,0.69,0.9
194,0.76,0.86,0.92
35,0.76,0.69,0.9
192,0.76,0.86,0.92
191,0.76,0.86,0.92
132,0.75,0.85,0.91
127,0.75,0.85,0.91
128,0.75,0.85,0.91
129,0.75,0.85,0.91
130,0.75,0.85,0.91
131,0.75,0.85,0.91
138,0.75,0.85,0.91
133,0.75,0.84,0.91
134,0.75,0.85,0.91
135,0.75,0.85,0.91
280,0.75,0.87,0.91
139,0.75,0.85,0.91
124,0.75,0.85,0.91
126,0.75,0.85,0.91
207,0.75,0.86,0.91
123,0.75,0.85,0.91
33,0.75,0.69,0.9
208,0.75,0.86,0.91
450,0.75,0.89,0.91
448,0.75,0.88,0.91
440,0.75,0.89,0.91
276,0.75,0.87,0.91
388,0.75,0.88,0.91
34,0.75,0.69,0.9
32,0.75,0.64,0.9
122,0.75,0.85,0.91
30,0.75,0.59,0.81
393,0.75,0.88,0.91
394,0.75,0.88,0.91
29,0.75,0.59,0.81
118,0.75,0.85,0.91
119,0.75,0.85,0.91
121,0.75,0.85,0.91
279,0.75,0.87,0.91
278,0.75,0.87,0.91
147,0.75,0.85,0.91
260,0.75,0.87,0.91
193,0.75,0.86,0.91
146,0.75,0.86,0.92
145,0.75,0.85,0.91
144,0.75,0.85,0.92
247,0.75,0.87,0.91
248,0.75,0.87,0.91
143,0.75,0.86,0.91
142,0.75,0.85,0.91
252,0.75,0.87,0.91
253,0.75,0.86,0.91
255,0.75,0.87,0.91
257,0.75,0.87,0.91
258,0.75,0.87,0.91
259,0.75,0.86,0.91
196,0.75,0.86,0.92
261,0.75,0.87,0.91
403,0.75,0.88,0.92
263,0.75,0.87,0.91
210,0.75,0.87,0.91
199,0.75,0.86,0.91
430,0.74,0.88,0.91
431,0.74,0.88,0.91
432,0.74,0.88,0.91
433,0.74,0.89,0.91
434,0.74,0.88,0.91
435,0.74,0.88,0.91
452,0.74,0.88,0.91
436,0.74,0.88,0.91
451,0.74,0.88,0.91
416,0.74,0.88,0.91
449,0.74,0.88,0.91
442,0.74,0.88,0.91
437,0.74,0.88,0.91
438,0.74,0.88,0.91
