Model,Neutral MCC,GOF MCC,LOF MCC
422,0.8477,0.6313,0.7909
423,0.8477,0.6326,0.7895
424,0.8498,0.6257,0.7895
425,0.8484,0.6344,0.7895
426,0.8491,0.6301,0.7895
427,0.8477,0.6264,0.7881
428,0.8441,0.6276,0.786
429,0.8441,0.6326,0.7874
430,0.8484,0.6301,0.7874
431,0.8491,0.6319,0.7902
432,0.8498,0.6308,0.7881
433,0.8484,0.6326,0.7888
434,0.8484,0.6246,0.7867
435,0.847,0.6237,0.7838
436,0.8477,0.6219,0.7867
437,0.8463,0.6246,0.7874
438,0.8463,0.6228,0.7853
439,0.8449,0.6175,0.7831
440,0.8477,0.6388,0.7909
441,0.8498,0.629,0.7902
442,0.8498,0.6211,0.7881
443,0.8534,0.6272,0.7916
444,0.8505,0.6246,0.7902
445,0.8498,0.6272,0.7881
446,0.8519,0.6211,0.7888
447,0.8484,0.6264,0.7902
448,0.8533,0.6298,0.7902
449,0.8498,0.6228,0.7874
450,0.8498,0.6425,0.7916
451,0.8519,0.6344,0.7916
452,0.8491,0.6344,0.7888
453,0.8505,0.6326,0.7909
454,0.8498,0.6338,0.7916
455,0.8512,0.6344,0.7923
456,0.8519,0.6326,0.7909
457,0.8526,0.6381,0.7938
458,0.8498,0.6283,0.7923
459,0.8505,0.6363,0.7923
460,0.8526,0.6326,0.7902
461,0.8526,0.6319,0.7938
462,0.8519,0.6381,0.7916
463,0.8534,0.6246,0.7902
464,0.8526,0.6363,0.7945
465,0.8505,0.6326,0.7909
466,0.8491,0.6283,0.7902
467,0.8534,0.6308,0.7916
468,0.8498,0.6239,0.7902
469,0.8534,0.6185,0.7902
470,0.8548,0.6276,0.7952
471,0.8519,0.629,0.7909
472,0.8512,0.6326,0.7902
473,0.8526,0.6272,0.7909
474,0.8505,0.6221,0.7888
475,0.8512,0.6283,0.7895
476,0.8519,0.6301,0.7909
477,0.854,0.6264,0.7916
478,0.8569,0.6195,0.7966
479,0.8526,0.6167,0.793
480,0.8533,0.6203,0.7923
481,0.8526,0.6203,0.7916
482,0.854,0.6211,0.7909
483,0.8526,0.6221,0.7895
484,0.8505,0.6221,0.7888
485,0.8512,0.6175,0.7867
486,0.8541,0.6167,0.7916
487,0.8526,0.6167,0.7888
488,0.8548,0.6203,0.7923
489,0.8541,0.6185,0.7895
490,0.8526,0.6185,0.7895
491,0.8519,0.6185,0.7916
492,0.8562,0.6203,0.7938
493,0.8533,0.6203,0.7909
494,0.8555,0.6239,0.7945
495,0.8519,0.6239,0.7923
496,0.8533,0.6221,0.7916
497,0.8555,0.6239,0.7945
498,0.8569,0.6149,0.7938
499,0.8562,0.6114,0.7902
