Model,GOF Precision,LOF Precision,Neutral Precision,GOF Recall,LOF Recall,Neutral Recall,Neutral MCC,GOF MCC,LOF MCC,GOF F1,LOF F1,Neutral F1,Neutral AP,GOF AP,LOF AP
99,0.47,0.89,0.93,0.73,0.85,0.91,0.8469,0.5547,0.7593,0.57,0.87,0.92,0.9682769594601857,0.6001243831299038,0.9416988177621877
100,0.46,0.89,0.93,0.72,0.85,0.91,0.8512,0.5464,0.7622,0.56,0.87,0.92,0.9682948257652406,0.583793838761901,0.9417011826887053
101,0.46,0.89,0.93,0.72,0.85,0.91,0.8505,0.5504,0.7622,0.57,0.87,0.92,0.9680821687348902,0.5911754787444805,0.9415439520071788
102,0.47,0.89,0.93,0.72,0.86,0.91,0.8505,0.553,0.7692,0.57,0.88,0.92,0.9680407379054756,0.6040624138142117,0.9427318066132931
103,0.47,0.89,0.92,0.72,0.85,0.91,0.8476,0.5518,0.7615,0.57,0.87,0.92,0.9684159035114576,0.6090643345870442,0.9426808571866184
104,0.47,0.89,0.93,0.72,0.85,0.91,0.8483,0.5559,0.7642,0.57,0.87,0.92,0.968119613277445,0.6050796930303922,0.9427741899739446
105,0.47,0.89,0.93,0.73,0.85,0.91,0.8484,0.5588,0.7656,0.57,0.87,0.92,0.9680967967941801,0.6300115518239033,0.9431450326471146
106,0.46,0.89,0.92,0.73,0.85,0.91,0.8448,0.5533,0.7594,0.57,0.87,0.92,0.9676520971176696,0.66154856636611,0.9429753792044684
107,0.47,0.89,0.92,0.72,0.85,0.91,0.8441,0.5518,0.7622,0.57,0.87,0.92,0.967827522091277,0.6481299426886981,0.9426156092835337
108,0.46,0.89,0.92,0.73,0.85,0.91,0.8441,0.552,0.7579,0.57,0.87,0.92,0.9675125516303115,0.6551706183672645,0.9428385182040393
109,0.46,0.89,0.93,0.72,0.85,0.91,0.8455,0.5504,0.76,0.57,0.87,0.92,0.9675858795720393,0.6514458617712644,0.9424786512372149
110,0.48,0.89,0.92,0.73,0.85,0.91,0.8469,0.563,0.7636,0.58,0.87,0.92,0.9675703420025927,0.6431269785680583,0.9424592482500862
111,0.47,0.89,0.92,0.72,0.85,0.91,0.8441,0.5559,0.7614,0.57,0.87,0.92,0.9673342652254604,0.6439283494761205,0.9428239070158547
112,0.48,0.89,0.93,0.72,0.85,0.91,0.8483,0.5587,0.7642,0.57,0.87,0.92,0.9676280769037482,0.6540222916498576,0.9432659895089881
113,0.48,0.89,0.92,0.72,0.85,0.91,0.8455,0.5587,0.7656,0.57,0.87,0.92,0.9673975063258667,0.6558540347759991,0.9436495573947713
