Model,GOF Precision,LOF Precision,Neutral Precision,GOF Recall,LOF Recall,Neutral Recall,Neutral MCC,GOF MCC,LOF MCC,GOF F1,LOF F1,Neutral F1
80,0.4,0.89,0.92,0.73,0.82,0.91,0.8406,0.5027,0.7361,0.51,0.85,0.92
81,0.39,0.89,0.93,0.72,0.82,0.91,0.8469,0.4942,0.7377,0.5,0.86,0.92
82,0.39,0.89,0.92,0.72,0.82,0.91,0.8455,0.4933,0.739,0.5,0.86,0.92
83,0.39,0.89,0.93,0.72,0.83,0.91,0.8484,0.4933,0.743,0.5,0.86,0.92
84,0.44,0.89,0.93,0.72,0.84,0.91,0.8477,0.5359,0.7559,0.55,0.87,0.92
85,0.44,0.89,0.93,0.72,0.84,0.91,0.8477,0.5334,0.7544,0.55,0.87,0.92
86,0.44,0.89,0.93,0.72,0.84,0.91,0.8441,0.5309,0.7509,0.54,0.87,0.92
87,0.44,0.89,0.93,0.7,0.85,0.91,0.8462,0.5213,0.7515,0.54,0.87,0.92
88,0.43,0.89,0.93,0.67,0.85,0.91,0.8469,0.5051,0.75,0.52,0.87,0.92
89,0.44,0.89,0.93,0.7,0.84,0.91,0.8469,0.5243,0.7509,0.54,0.87,0.92
90,0.44,0.89,0.93,0.72,0.84,0.91,0.8462,0.5291,0.7509,0.54,0.87,0.92
91,0.44,0.89,0.93,0.74,0.84,0.91,0.8455,0.5394,0.7538,0.55,0.87,0.92
92,0.45,0.89,0.93,0.72,0.85,0.91,0.8469,0.5424,0.7586,0.56,0.87,0.92
93,0.45,0.89,0.92,0.72,0.85,0.91,0.8434,0.5424,0.7551,0.56,0.87,0.92
94,0.46,0.89,0.93,0.72,0.85,0.91,0.8462,0.5421,0.755,0.56,0.87,0.92
95,0.44,0.89,0.93,0.7,0.85,0.91,0.8505,0.5226,0.7522,0.54,0.87,0.92
96,0.46,0.89,0.93,0.74,0.85,0.91,0.8505,0.5563,0.7622,0.57,0.87,0.92
97,0.45,0.89,0.93,0.72,0.84,0.91,0.8462,0.5372,0.7509,0.55,0.87,0.92
98,0.46,0.89,0.93,0.72,0.85,0.91,0.8469,0.5477,0.7558,0.56,0.87,0.92
99,0.47,0.89,0.93,0.73,0.85,0.91,0.8469,0.5547,0.7593,0.57,0.87,0.92
100,0.46,0.89,0.93,0.72,0.85,0.91,0.8512,0.5464,0.7622,0.56,0.87,0.92
101,0.46,0.89,0.93,0.72,0.85,0.91,0.8505,0.5504,0.7622,0.57,0.87,0.92
102,0.47,0.89,0.93,0.72,0.86,0.91,0.8505,0.553,0.7692,0.57,0.88,0.92
103,0.47,0.89,0.92,0.72,0.85,0.91,0.8476,0.5518,0.7615,0.57,0.87,0.92
