Model,GOF AP,LOF AP,Neutral AP
49,0.2285304212681156,0.9225741694976264,0.964066565228506
50,0.2311459999140701,0.922865086056342,0.9640126335161532
51,0.2359303927795665,0.9232749741921256,0.9643064402185184
52,0.2362297123929899,0.9226778794152952,0.964372776706585
53,0.2695185647509813,0.923413818930902,0.9634640014122152
54,0.2664954468278672,0.924397551339165,0.9634039327569278
55,0.2744686429472756,0.9240849415382366,0.9631239123536408
56,0.2772009987166619,0.9247907980315684,0.9631930182507404
57,0.2280632608516362,0.9215846981971512,0.9624192421594796
58,0.2246469478972362,0.921652951762236,0.962650798523406
59,0.2389678759395704,0.9247183876352338,0.9645562981747842
60,0.2602061657988913,0.9256501271310928,0.9643481831628082
61,0.2553123594964151,0.9263796993071703,0.9642167366761102
62,0.2612257482020629,0.9270680301724956,0.9643339754153152
63,0.2590043801558953,0.926612159375985,0.964259525156873
64,0.328491582400814,0.9284864546622226,0.9649347143843898
65,0.3425239907898617,0.9297167755802942,0.9649037903817403
66,0.3393334514910233,0.9294887325251632,0.9645778741405576
67,0.3516919134572087,0.9300019927812032,0.964902466335445
68,0.3363838833681399,0.927918031092812,0.9637840095886931
69,0.3355824675777176,0.9293187674607206,0.9634050595169504
70,0.3010268982192871,0.9277589936998998,0.9638784818168876
71,0.4104920734610585,0.9310785171064524,0.965842034235349
72,0.4100031120207176,0.9318372126927904,0.9657900766624368
73,0.4755250287684907,0.9353244979945444,0.9654525600428392
74,0.5154349699392979,0.9355028528500188,0.9648154686322592
75,0.5062081508769652,0.9359883578820518,0.965123624821281
76,0.5318972484920317,0.9367781199439064,0.9651492878082422
77,0.5423459919901468,0.9372785568732304,0.96516779692908
78,0.5546193136502495,0.9378043333755908,0.9651361502970848
79,0.5602257389787729,0.93798656386129,0.9652244520896603
80,0.5610276319447339,0.9380478526788516,0.9649126841945806
81,0.5512237667724627,0.9388901840416828,0.9680858743919752
82,0.5399503317134319,0.9388535502437348,0.9680966310248438
83,0.5485022800845231,0.939310960072921,0.9687761960113254
84,0.5752469467938087,0.9408247285664786,0.9687355118252204
85,0.591522832878195,0.9403608255775404,0.9688412754321226
