Model,GOF Specificity
312,0.9929078014184397
313,0.9917879805897724
314,0.992534527808884
315,0.992534527808884
316,0.992534527808884
317,0.9921612541993281
318,0.9914147069802165
319,0.9914147069802165
320,0.9932810750279956
321,0.9921612541993281
322,0.9914147069802165
323,0.9914147069802165
324,0.9944008958566629
325,0.9917879805897724
326,0.9917879805897724
327,0.9917879805897724
328,0.9921612541993281
329,0.9917879805897724
330,0.9914147069802165
331,0.9917879805897724
332,0.9921612541993281
333,0.9906681597611049
334,0.992534527808884
335,0.9921612541993281
336,0.9914147069802165
337,0.9921612541993281
338,0.9914147069802165
339,0.9917879805897724
340,0.9917879805897724
341,0.9917879805897724
342,0.9917879805897724
343,0.9929078014184397
344,0.9917879805897724
345,0.9917879805897724
346,0.9932810750279956
347,0.9932810750279956
348,0.9940276222471072
349,0.9940276222471072
350,0.9936543486375513
351,0.9936543486375513
352,0.9929078014184397
353,0.9929078014184397
354,0.9936543486375513
355,0.992534527808884
356,0.9940276222471072
357,0.9940276222471072
358,0.9932810750279956
359,0.9932810750279956
360,0.9947741694662188
361,0.9936543486375513
362,0.9932810750279956
363,0.9940276222471072
364,0.9947741694662188
365,0.9936543486375513
366,0.9936543486375513
367,0.9936543486375513
368,0.9940276222471072
369,0.9940276222471072
370,0.9947741694662188
371,0.9944008958566629
372,0.9940276222471072
373,0.9936543486375513
374,0.9932810750279956
375,0.9936543486375513
376,0.992534527808884
377,0.9940276222471072
378,0.9940276222471072
379,0.992534527808884
380,0.9921612541993281
381,0.9940276222471072
382,0.9921612541993281
383,0.992534527808884
384,0.9932810750279956
385,0.9932810750279956
386,0.9932810750279956
387,0.9936543486375513
388,0.9932810750279956
389,0.992534527808884
390,0.9936543486375513
391,0.9929078014184397
392,0.9940276222471072
393,0.9936543486375513
394,0.9940276222471072
395,0.9932810750279956
396,0.9932810750279956
397,0.992534527808884
398,0.9936543486375513
399,0.9929078014184397
400,0.9936543486375513
401,0.9936543486375513
402,0.9944008958566629
403,0.9936543486375513
404,0.9929078014184397
405,0.9929078014184397
406,0.9932810750279956
407,0.9921612541993281
408,0.9940276222471072
409,0.9936543486375513
410,0.9932810750279956
411,0.9936543486375513
412,0.9944008958566629
413,0.9929078014184397
414,0.9944008958566629
415,0.9929078014184397
416,0.9940276222471072
417,0.9940276222471072
418,0.9932810750279956
419,0.9940276222471072
420,0.9921612541993281
421,0.9932810750279956
422,0.9940276222471072
423,0.9929078014184397
424,0.9936543486375513
425,0.9929078014184397
426,0.9929078014184397
427,0.9932810750279956
428,0.9936543486375513
429,0.9947741694662188
430,0.9929078014184397
431,0.9936543486375513
432,0.9940276222471072
433,0.9929078014184397
434,0.9940276222471072
435,0.992534527808884
436,0.9917879805897724
437,0.9936543486375513
438,0.9929078014184397
439,0.992534527808884
440,0.9917879805897724
441,0.9932810750279956
442,0.9917879805897724
443,0.9940276222471072
444,0.9921612541993281
445,0.9914147069802165
446,0.9921612541993281
447,0.9921612541993281
448,0.9917879805897724
449,0.9932810750279956
450,0.9932810750279956
451,0.9944008958566629
452,0.9932810750279956
453,0.9944008958566629
454,0.9936543486375513
455,0.9936543486375513
456,0.9947741694662188
457,0.9929078014184397
458,0.9929078014184397
459,0.9929078014184397
460,0.9944008958566629
461,0.9936543486375513
462,0.9940276222471072
463,0.9947741694662188
464,0.9944008958566629
465,0.9955207166853304
466,0.9944008958566629
467,0.9929078014184397
468,0.9944008958566629
469,0.992534527808884
470,0.9955207166853304
471,0.9932810750279956
472,0.9936543486375513
473,0.9936543486375513
474,0.9936543486375513
475,0.9940276222471072
476,0.9944008958566629
477,0.9947741694662188
478,0.9947741694662188
479,0.9940276222471072
480,0.9932810750279956
481,0.9936543486375513
482,0.9932810750279956
483,0.9940276222471072
484,0.9936543486375513
485,0.9940276222471072
486,0.9936543486375513
487,0.9936543486375513
488,0.9936543486375513
489,0.9944008958566629
490,0.9940276222471072
491,0.9936543486375513
492,0.9940276222471072
493,0.9932810750279956
494,0.9940276222471072
495,0.9929078014184397
496,0.9936543486375513
497,0.9932810750279956
498,0.9944008958566629
499,0.9944008958566629
