Model,Precision
251,0.8694323941093842
344,0.8694546988309164
230,0.8694621500066657
197,0.8695128262874762
222,0.8695715779370681
144,0.8695791714449356
145,0.8695791714449356
213,0.8696218805501145
10,0.8696482784457981
128,0.8696539703476704
214,0.8696603718776065
133,0.8697933608571634
243,0.8697952805948697
104,0.869799716265369
221,0.8698351744800816
342,0.8698484857018197
246,0.8698670203882904
252,0.8698790429917138
183,0.8698931369338626
102,0.8699480733017222
208,0.8699592499558801
234,0.8699968836179565
200,0.8700053377686198
122,0.8700399962100774
123,0.8700399962100774
121,0.870063131862287
103,0.8701205549177221
229,0.8701270179881119
199,0.8701621690379918
341,0.8702030755100638
345,0.8702222193900074
215,0.8702269323639117
212,0.8702717310122609
219,0.8703064386596433
244,0.8703304686876299
185,0.8703355350935129
207,0.8703360644198884
204,0.8703418327110403
101,0.8704741537898246
107,0.870628015334495
206,0.8706660544768308
260,0.8706779362470769
127,0.8707206908512537
237,0.8707245981598544
239,0.8707682071915518
265,0.8708007292254156
349,0.8708315916989166
211,0.8708440846404879
266,0.8708479402029816
116,0.8708756530494398
264,0.87089739556586
389,0.8709011983515013
275,0.8709093707746122
131,0.87095860301507
110,0.8709705712252626
254,0.8709727251340018
124,0.8709867525599584
261,0.871045095247279
232,0.8710578900624122
112,0.8710601098678394
113,0.8710704486708623
210,0.8711022840244379
117,0.8711541503077322
205,0.8711639066135443
259,0.8711696524735509
238,0.8711847973011877
245,0.8711863511804468
176,0.8711971096837595
356,0.8712425387611368
255,0.8712707673972139
105,0.8712876734412835
120,0.8713246513788686
172,0.8713748761520846
280,0.8714485527544645
267,0.8715160747314681
269,0.8715485260081475
257,0.8715825035265117
347,0.871597910176816
108,0.8716364193298282
242,0.8716643596395011
263,0.8717564368998886
4,0.8718015152386576
362,0.871814342888917
236,0.8718702603545226
343,0.8719049704702095
283,0.8719169586735535
111,0.8719190655269143
281,0.8719502832516318
270,0.8720693542194935
262,0.8720866515351565
374,0.8720901168938003
271,0.8720936948802882
119,0.8721286702715548
348,0.8722087771873357
