Model,Accuracy
184,0.8555280819498411
196,0.8555280819498411
216,0.8555280819498411
218,0.8555280819498411
131,0.8555280819498411
225,0.8555280819498411
119,0.8555280819498411
228,0.8555280819498411
127,0.8555280819498411
145,0.8555280819498411
167,0.8555280819498411
165,0.8555280819498411
163,0.8555280819498411
144,0.8555280819498411
159,0.8555280819498411
124,0.8558813140233134
231,0.8558813140233134
191,0.8558813140233134
251,0.8558813140233134
213,0.8558813140233134
152,0.8558813140233134
244,0.8558813140233134
224,0.8562345460967856
214,0.8562345460967856
206,0.8562345460967856
207,0.8562345460967856
197,0.8562345460967856
158,0.8562345460967856
162,0.8562345460967856
168,0.8562345460967856
169,0.8562345460967856
219,0.8562345460967856
212,0.8562345460967856
233,0.8565877781702579
200,0.8565877781702579
183,0.8565877781702579
203,0.8565877781702579
189,0.8565877781702579
126,0.8565877781702579
208,0.8569410102437302
243,0.8569410102437302
154,0.8569410102437302
230,0.8569410102437302
229,0.8569410102437302
170,0.8569410102437302
226,0.8569410102437302
234,0.8572942423172024
241,0.8572942423172024
211,0.8572942423172024
185,0.8572942423172024
222,0.8572942423172024
258,0.8572942423172024
204,0.8572942423172024
205,0.8572942423172024
176,0.8572942423172024
252,0.8576474743906747
153,0.8576474743906747
246,0.858000706464147
237,0.858000706464147
269,0.858000706464147
221,0.858000706464147
235,0.858000706464147
210,0.8583539385376192
199,0.8583539385376192
263,0.8583539385376192
247,0.8583539385376192
202,0.8583539385376192
125,0.8587071706110915
172,0.8587071706110915
261,0.8587071706110915
266,0.8587071706110915
260,0.8587071706110915
270,0.8590604026845637
259,0.8590604026845637
245,0.859413634758036
255,0.859413634758036
264,0.859413634758036
275,0.859413634758036
232,0.859413634758036
268,0.8597668668315083
256,0.8597668668315083
254,0.8597668668315083
236,0.8597668668315083
257,0.8597668668315083
277,0.8601200989049805
262,0.8601200989049805
285,0.8601200989049805
267,0.8601200989049805
280,0.8604733309784528
344,0.8604733309784528
342,0.8608265630519251
345,0.8608265630519251
250,0.8608265630519251
249,0.8608265630519251
248,0.8608265630519251
356,0.8611797951253974
272,0.8611797951253974
349,0.8611797951253974
332,0.8611797951253974
265,0.8611797951253974
242,0.8611797951253974
239,0.8611797951253974
287,0.8615330271988697
348,0.8615330271988697
238,0.8615330271988697
271,0.8615330271988697
278,0.8615330271988697
341,0.8615330271988697
347,0.861886259272342
334,0.861886259272342
276,0.861886259272342
288,0.861886259272342
331,0.861886259272342
291,0.861886259272342
350,0.8622394913458142
323,0.8622394913458142
374,0.8622394913458142
283,0.8622394913458142
330,0.8625927234192865
282,0.8625927234192865
281,0.8625927234192865
337,0.8625927234192865
274,0.8625927234192865
273,0.8625927234192865
290,0.8625927234192865
362,0.8625927234192865
279,0.8629459554927588
333,0.8629459554927588
363,0.863299187566231
339,0.863299187566231
338,0.863299187566231
343,0.863299187566231
297,0.863299187566231
298,0.863299187566231
284,0.863299187566231
387,0.8636524196397033
326,0.8636524196397033
324,0.8636524196397033
319,0.8636524196397033
346,0.8636524196397033
377,0.8636524196397033
304,0.8636524196397033
295,0.8640056517131756
294,0.8640056517131756
372,0.8640056517131756
301,0.8640056517131756
327,0.8640056517131756
328,0.8640056517131756
329,0.8640056517131756
336,0.8640056517131756
286,0.8643588837866478
335,0.8643588837866478
364,0.8643588837866478
360,0.8643588837866478
389,0.8643588837866478
367,0.8643588837866478
