Model,micro_recall,macro_recall,confusion_matrix
188,0.8545,0.7983,"[[1175, 40, 124], [10, 101, 41], [104, 93, 1143]]"
189,0.8566,0.8018,"[[1177, 39, 123], [10, 102, 40], [106, 88, 1146]]"
190,0.8545,0.7925,"[[1176, 39, 124], [10, 98, 44], [103, 92, 1145]]"
191,0.8559,0.7954,"[[1180, 39, 120], [10, 99, 43], [106, 90, 1144]]"
192,0.8548,0.7908,"[[1175, 40, 124], [13, 97, 42], [102, 90, 1148]]"
193,0.8555,0.7894,"[[1179, 39, 121], [11, 96, 45], [105, 88, 1147]]"
194,0.8531,0.7818,"[[1177, 38, 124], [12, 93, 47], [104, 91, 1145]]"
195,0.8545,0.7905,"[[1174, 42, 123], [11, 97, 44], [103, 89, 1148]]"
196,0.8555,0.7932,"[[1177, 38, 124], [11, 98, 43], [101, 92, 1147]]"
197,0.8562,0.7976,"[[1176, 39, 124], [11, 100, 41], [99, 93, 1148]]"
198,0.8538,0.7939,"[[1174, 40, 125], [11, 99, 42], [103, 93, 1144]]"
199,0.8584,0.7991,"[[1178, 37, 124], [10, 100, 42], [100, 88, 1152]]"
200,0.8566,0.8018,"[[1176, 40, 123], [11, 102, 39], [101, 92, 1147]]"
201,0.8552,0.7949,"[[1174, 40, 125], [11, 99, 42], [102, 90, 1148]]"
202,0.8584,0.7952,"[[1179, 38, 122], [11, 98, 43], [104, 83, 1153]]"
203,0.8566,0.7998,"[[1171, 41, 127], [11, 101, 40], [102, 85, 1153]]"
204,0.8573,0.8023,"[[1174, 41, 124], [11, 102, 39], [100, 89, 1151]]"
205,0.8573,0.8061,"[[1175, 40, 124], [11, 104, 37], [99, 93, 1148]]"
206,0.8562,0.8035,"[[1174, 43, 122], [10, 103, 39], [100, 93, 1147]]"
207,0.8562,0.8073,"[[1174, 42, 123], [10, 105, 37], [103, 92, 1145]]"
208,0.8569,0.8078,"[[1174, 41, 124], [9, 105, 38], [105, 88, 1147]]"
209,0.8545,0.8080,"[[1176, 40, 123], [10, 106, 36], [105, 98, 1137]]"
210,0.8584,0.8069,"[[1176, 40, 123], [11, 104, 37], [102, 88, 1150]]"
211,0.8573,0.8042,"[[1175, 41, 123], [11, 103, 38], [100, 91, 1149]]"
212,0.8562,0.8054,"[[1174, 42, 123], [10, 104, 38], [102, 92, 1146]]"
213,0.8559,0.8032,"[[1173, 41, 125], [11, 103, 38], [101, 92, 1147]]"
214,0.8562,0.8073,"[[1173, 42, 124], [10, 105, 37], [105, 89, 1146]]"
215,0.8552,0.8027,"[[1174, 42, 123], [12, 103, 37], [99, 97, 1144]]"
216,0.8555,0.8010,"[[1173, 39, 127], [12, 102, 38], [101, 92, 1147]]"
217,0.8527,0.7990,"[[1173, 45, 121], [12, 102, 38], [102, 99, 1139]]"
