Model,micro_recall,macro_recall,confusion_matrix
196,0.8852,0.6955,"[[1234, 3, 102], [5, 37, 110], [90, 15, 1235]]"
197,0.8873,0.7029,"[[1233, 3, 103], [5, 40, 107], [90, 11, 1239]]"
198,0.8866,0.7004,"[[1233, 3, 103], [5, 39, 108], [89, 13, 1238]]"
199,0.8831,0.6960,"[[1229, 3, 107], [5, 38, 109], [91, 16, 1233]]"
200,0.8827,0.6841,"[[1228, 4, 107], [5, 32, 115], [88, 13, 1239]]"
201,0.8813,0.6792,"[[1229, 4, 106], [5, 30, 117], [94, 10, 1236]]"
202,0.8820,0.6953,"[[1228, 2, 109], [5, 38, 109], [94, 15, 1231]]"
203,0.8820,0.6836,"[[1230, 3, 106], [5, 32, 115], [95, 10, 1235]]"
204,0.8863,0.7041,"[[1229, 5, 105], [5, 41, 106], [90, 11, 1239]]"
205,0.8834,0.6924,"[[1228, 2, 109], [5, 36, 111], [92, 11, 1237]]"
206,0.8866,0.7024,"[[1227, 3, 109], [5, 40, 107], [86, 11, 1243]]"
207,0.8863,0.7021,"[[1230, 3, 106], [5, 40, 107], [88, 13, 1239]]"
208,0.8856,0.7016,"[[1228, 4, 107], [5, 40, 107], [89, 12, 1239]]"
209,0.8887,0.7136,"[[1234, 3, 102], [6, 45, 101], [91, 12, 1237]]"
210,0.8859,0.7077,"[[1230, 3, 106], [5, 43, 104], [95, 10, 1235]]"
211,0.8884,0.7192,"[[1230, 4, 105], [5, 48, 99], [90, 13, 1237]]"
212,0.8852,0.7033,"[[1226, 4, 109], [5, 41, 106], [89, 12, 1239]]"
213,0.8838,0.7062,"[[1227, 4, 108], [5, 43, 104], [95, 13, 1232]]"
214,0.8824,0.6858,"[[1228, 3, 108], [5, 33, 114], [92, 11, 1237]]"
215,0.8852,0.6994,"[[1229, 3, 107], [5, 39, 108], [90, 12, 1238]]"
216,0.8884,0.7153,"[[1226, 2, 111], [5, 46, 101], [86, 11, 1243]]"
217,0.8834,0.6943,"[[1228, 3, 108], [5, 37, 110], [88, 16, 1236]]"
218,0.8859,0.6999,"[[1230, 2, 107], [5, 39, 108], [91, 10, 1239]]"
219,0.8866,0.6965,"[[1229, 3, 107], [5, 37, 110], [86, 10, 1244]]"
220,0.8852,0.7014,"[[1232, 4, 103], [5, 40, 107], [90, 16, 1234]]"
221,0.8831,0.6979,"[[1226, 4, 109], [5, 39, 108], [91, 14, 1235]]"
222,0.8841,0.6929,"[[1229, 3, 107], [5, 36, 111], [90, 12, 1238]]"
223,0.8827,0.6860,"[[1230, 4, 105], [5, 33, 114], [90, 14, 1236]]"
224,0.8834,0.6904,"[[1230, 2, 107], [6, 35, 111], [94, 10, 1236]]"
225,0.8880,0.7111,"[[1229, 3, 107], [5, 44, 103], [90, 9, 1241]]"
226,0.8852,0.7033,"[[1229, 3, 107], [6, 41, 105], [88, 16, 1236]]"
227,0.8863,0.7099,"[[1229, 3, 107], [5, 44, 103], [92, 12, 1236]]"
228,0.8848,0.6992,"[[1226, 4, 109], [5, 39, 108], [89, 11, 1240]]"
229,0.8841,0.6948,"[[1228, 4, 107], [5, 37, 110], [90, 12, 1238]]"
230,0.8870,0.7026,"[[1228, 3, 108], [5, 40, 107], [87, 10, 1243]]"
231,0.8859,0.6999,"[[1226, 3, 110], [5, 39, 108], [87, 10, 1243]]"
232,0.8894,0.7238,"[[1229, 2, 108], [5, 50, 97], [91, 10, 1239]]"
233,0.8873,0.7107,"[[1232, 3, 104], [5, 44, 103], [89, 15, 1236]]"
234,0.8909,0.7306,"[[1236, 3, 100], [5, 53, 94], [90, 17, 1233]]"
235,0.8891,0.7099,"[[1230, 2, 107], [5, 43, 104], [88, 8, 1244]]"
236,0.8901,0.7301,"[[1231, 2, 106], [5, 53, 94], [93, 11, 1236]]"
237,0.8905,0.7187,"[[1231, 4, 104], [5, 47, 100], [89, 8, 1243]]"
238,0.8880,0.7131,"[[1229, 1, 109], [5, 45, 102], [90, 10, 1240]]"
239,0.8870,0.7104,"[[1227, 1, 111], [5, 44, 103], [88, 12, 1240]]"
240,0.8841,0.6890,"[[1231, 1, 107], [5, 34, 113], [89, 13, 1238]]"
241,0.8831,0.6979,"[[1230, 2, 107], [6, 39, 107], [95, 14, 1231]]"
242,0.8859,0.6980,"[[1231, 1, 107], [6, 38, 108], [91, 10, 1239]]"
243,0.8894,0.7238,"[[1232, 2, 105], [5, 50, 97], [91, 13, 1236]]"
244,0.8856,0.7094,"[[1228, 1, 110], [5, 44, 103], [90, 15, 1235]]"
245,0.8845,0.7009,"[[1228, 1, 110], [5, 40, 107], [91, 13, 1236]]"
246,0.8863,0.7080,"[[1230, 1, 108], [5, 43, 104], [92, 12, 1236]]"
247,0.8841,0.6948,"[[1228, 2, 109], [6, 37, 109], [90, 12, 1238]]"
248,0.8926,0.7358,"[[1233, 1, 105], [5, 55, 92], [91, 10, 1239]]"
249,0.8877,0.7109,"[[1231, 0, 108], [5, 44, 103], [91, 11, 1238]]"
250,0.8856,0.7075,"[[1229, 2, 108], [5, 43, 104], [92, 13, 1235]]"
251,0.8898,0.7260,"[[1233, 2, 104], [5, 51, 96], [93, 12, 1235]]"
252,0.8873,0.7107,"[[1231, 1, 107], [5, 44, 103], [91, 12, 1237]]"
253,0.8866,0.7063,"[[1232, 1, 106], [5, 42, 105], [94, 10, 1236]]"
254,0.8898,0.7182,"[[1230, 2, 107], [5, 47, 100], [88, 10, 1242]]"
255,0.8898,0.7279,"[[1229, 1, 109], [5, 52, 95], [93, 9, 1238]]"
256,0.8884,0.7056,"[[1235, 1, 103], [5, 41, 106], [90, 11, 1239]]"
257,0.8863,0.7060,"[[1227, 1, 111], [5, 42, 105], [89, 11, 1240]]"
258,0.8923,0.7297,"[[1235, 1, 103], [5, 52, 95], [88, 13, 1239]]"
259,0.8884,0.7114,"[[1230, 1, 108], [5, 44, 103], [87, 12, 1241]]"
260,0.8877,0.6992,"[[1232, 1, 106], [5, 38, 109], [86, 11, 1243]]"
261,0.8880,0.7111,"[[1229, 1, 109], [5, 44, 103], [87, 12, 1241]]"
262,0.8873,0.7068,"[[1230, 1, 108], [5, 42, 105], [89, 11, 1240]]"
263,0.8873,0.7009,"[[1233, 1, 105], [5, 39, 108], [88, 12, 1240]]"
264,0.8891,0.7119,"[[1233, 1, 105], [5, 44, 103], [87, 13, 1240]]"
265,0.8877,0.7109,"[[1234, 2, 103], [5, 44, 103], [94, 11, 1235]]"
266,0.8856,0.6939,"[[1234, 2, 103], [5, 36, 111], [91, 12, 1237]]"
267,0.8926,0.7358,"[[1234, 1, 104], [5, 55, 92], [90, 12, 1238]]"
268,0.8887,0.7155,"[[1233, 2, 104], [5, 46, 101], [91, 12, 1237]]"
269,0.8909,0.7093,"[[1235, 1, 103], [5, 42, 105], [84, 11, 1245]]"
270,0.8870,0.7026,"[[1231, 2, 106], [5, 40, 107], [87, 13, 1240]]"
271,0.8919,0.7275,"[[1232, 1, 106], [5, 51, 96], [87, 11, 1242]]"
272,0.8891,0.7177,"[[1231, 2, 106], [5, 47, 100], [89, 12, 1239]]"
273,0.8880,0.6995,"[[1236, 2, 101], [5, 38, 109], [89, 11, 1240]]"
274,0.8905,0.7090,"[[1235, 1, 103], [5, 42, 105], [85, 11, 1244]]"
275,0.8884,0.7211,"[[1231, 1, 107], [5, 49, 98], [92, 13, 1235]]"
276,0.8923,0.7297,"[[1235, 2, 102], [5, 52, 95], [88, 13, 1239]]"
277,0.8909,0.7190,"[[1235, 1, 103], [5, 47, 100], [89, 11, 1240]]"
278,0.8894,0.7083,"[[1234, 2, 103], [5, 42, 105], [88, 10, 1242]]"
279,0.8926,0.7260,"[[1236, 1, 102], [5, 50, 97], [86, 13, 1241]]"
280,0.8894,0.7044,"[[1236, 2, 101], [5, 40, 107], [87, 11, 1242]]"
281,0.8930,0.7282,"[[1237, 1, 101], [5, 51, 96], [89, 11, 1240]]"
282,0.8866,0.7043,"[[1234, 2, 103], [5, 41, 106], [91, 14, 1235]]"
283,0.8912,0.7231,"[[1235, 3, 101], [5, 49, 98], [89, 12, 1239]]"
284,0.8909,0.7170,"[[1233, 2, 104], [5, 46, 101], [86, 11, 1243]]"
285,0.8937,0.7365,"[[1237, 1, 101], [5, 55, 92], [91, 11, 1238]]"
286,0.8916,0.7234,"[[1234, 1, 104], [5, 49, 98], [87, 12, 1241]]"
287,0.8905,0.7148,"[[1233, 2, 104], [5, 45, 102], [86, 11, 1243]]"
288,0.8884,0.7095,"[[1235, 0, 104], [5, 43, 104], [90, 13, 1237]]"
289,0.8919,0.7314,"[[1236, 1, 102], [5, 53, 94], [91, 13, 1236]]"
290,0.8898,0.7221,"[[1232, 1, 106], [5, 49, 98], [89, 13, 1238]]"
291,0.8933,0.7343,"[[1237, 1, 101], [5, 54, 93], [91, 11, 1238]]"
292,0.8930,0.7282,"[[1237, 2, 100], [5, 51, 96], [86, 14, 1240]]"
293,0.8901,0.7224,"[[1235, 1, 103], [5, 49, 98], [92, 12, 1236]]"
294,0.8912,0.7309,"[[1232, 1, 106], [5, 53, 94], [90, 12, 1238]]"
295,0.8891,0.7158,"[[1234, 1, 104], [5, 46, 101], [91, 12, 1237]]"
296,0.8877,0.7070,"[[1234, 1, 104], [5, 42, 105], [91, 12, 1237]]"
297,0.8909,0.7229,"[[1233, 1, 105], [5, 49, 98], [86, 14, 1240]]"
298,0.8923,0.7219,"[[1234, 1, 104], [5, 48, 99], [86, 10, 1244]]"
299,0.8933,0.7363,"[[1236, 2, 101], [5, 55, 92], [90, 12, 1238]]"
300,0.8930,0.7360,"[[1233, 1, 105], [5, 55, 92], [88, 12, 1240]]"
301,0.8940,0.7387,"[[1234, 2, 103], [5, 56, 91], [88, 11, 1241]]"
302,0.8933,0.7363,"[[1236, 2, 101], [5, 55, 92], [90, 12, 1238]]"
303,0.8933,0.7402,"[[1235, 1, 103], [5, 57, 90], [90, 13, 1237]]"
