Model,GOF Recall,LOF Recall,Neutral Recall
478,0.68,0.87,0.88
479,0.69,0.87,0.88
480,0.72,0.87,0.88
481,0.68,0.87,0.88
482,0.69,0.87,0.88
483,0.7,0.87,0.88
484,0.7,0.88,0.88
485,0.69,0.88,0.88
486,0.68,0.88,0.88
487,0.7,0.88,0.88
488,0.7,0.87,0.88
489,0.68,0.88,0.88
490,0.7,0.87,0.88
491,0.7,0.87,0.88
492,0.7,0.87,0.88
493,0.69,0.87,0.88
494,0.7,0.88,0.88
495,0.69,0.87,0.88
496,0.7,0.88,0.88
497,0.7,0.88,0.88
498,0.68,0.87,0.88
499,0.68,0.87,0.88
