Model,Neutral MCC,GOF MCC,LOF MCC
283,0.8046,0.5499,0.7555
284,0.8075,0.563,0.7576
285,0.8081,0.5331,0.7533
286,0.8081,0.5587,0.759
287,0.8082,0.5443,0.7548
288,0.8067,0.5382,0.7562
289,0.8074,0.5573,0.7619
290,0.8067,0.5426,0.7583
291,0.806,0.5456,0.7562
292,0.8067,0.5633,0.7626
293,0.8088,0.5677,0.7597
294,0.8067,0.5559,0.7576
295,0.8103,0.5586,0.7569
296,0.8096,0.5514,0.7654
297,0.8096,0.5514,0.7569
298,0.8096,0.5514,0.7569
299,0.8081,0.5652,0.7619
300,0.8103,0.5588,0.7583
301,0.8103,0.544,0.7583
302,0.8131,0.5574,0.7633
303,0.8082,0.562,0.7591
304,0.8088,0.5572,0.7562
305,0.8125,0.5677,0.7605
306,0.8096,0.5655,0.7605
307,0.8124,0.5484,0.7597
308,0.8124,0.556,0.7633
309,0.8103,0.5605,0.7591
310,0.8124,0.5633,0.7654
311,0.8096,0.5618,0.7633
312,0.811,0.5455,0.7611
313,0.811,0.562,0.7619
314,0.8103,0.5484,0.7591
315,0.8096,0.5499,0.7619
316,0.8132,0.5559,0.7612
317,0.8103,0.5574,0.7633
318,0.8081,0.5677,0.7619
319,0.8097,0.5499,0.7576
320,0.8117,0.5616,0.7626
321,0.8103,0.5557,0.7597
322,0.806,0.5603,0.759
323,0.8061,0.5484,0.7562
324,0.8097,0.5485,0.7597
325,0.8097,0.5572,0.7612
326,0.8097,0.5514,0.7583
327,0.8082,0.5586,0.759
328,0.8089,0.5528,0.7597
329,0.8061,0.563,0.759
330,0.8082,0.5427,0.7583
331,0.8075,0.5312,0.759
332,0.809,0.5331,0.7569
333,0.8097,0.5415,0.7604
334,0.806,0.5456,0.7562
335,0.8096,0.5499,0.7604
336,0.8089,0.5425,0.7605
337,0.8082,0.5398,0.7583
338,0.8075,0.5469,0.7583
339,0.8082,0.5441,0.7604
340,0.8082,0.5543,0.7612
341,0.8047,0.5275,0.7549
342,0.8011,0.5395,0.7541
343,0.8075,0.5335,0.7577
344,0.806,0.5035,0.7548
345,0.8082,0.5066,0.7541
346,0.8104,0.5217,0.7605
347,0.809,0.5098,0.7577
348,0.8111,0.5131,0.7555
349,0.8075,0.5098,0.7562
350,0.8089,0.5174,0.7584
351,0.8103,0.5321,0.7612
352,0.8097,0.5321,0.7619
353,0.8111,0.5366,0.7612
354,0.8103,0.5275,0.762
355,0.811,0.5141,0.7633
356,0.8082,0.5218,0.7541
357,0.8096,0.5366,0.7626
358,0.8082,0.5351,0.7605
359,0.8103,0.526,0.7613
360,0.809,0.5425,0.7605
361,0.8103,0.5469,0.764
362,0.8096,0.5231,0.7562
363,0.8082,0.5262,0.7605
364,0.8082,0.5396,0.7598
365,0.8111,0.544,0.762
366,0.811,0.5456,0.7669
367,0.8089,0.5425,0.7605
368,0.8117,0.544,0.7626
369,0.8096,0.544,0.7619
370,0.8103,0.5395,0.7619
371,0.8125,0.547,0.7676
372,0.8089,0.5306,0.7619
373,0.8104,0.5395,0.7619
374,0.8082,0.5292,0.7562
375,0.8067,0.5441,0.762
376,0.8089,0.5545,0.7662
377,0.8089,0.5246,0.7605
378,0.8103,0.5366,0.7634
