Model,GOF Precision,LOF Precision,Neutral Precision,GOF Recall,LOF Recall,Neutral Recall,Neutral MCC,GOF MCC,LOF MCC,GOF F1,LOF F1,Neutral F1,Neutral AP,GOF AP,LOF AP
166,0.43,0.87,0.91,0.64,0.85,0.88,0.8038,0.4907,0.7399,0.51,0.86,0.89,0.9561995649331843,0.4789369076609648,0.929714483623782
167,0.43,0.87,0.91,0.63,0.86,0.88,0.8052,0.4862,0.7462,0.51,0.86,0.9,0.9562209410202808,0.5033512344522404,0.9296537736829102
168,0.45,0.87,0.91,0.64,0.86,0.88,0.8024,0.5086,0.7434,0.53,0.86,0.89,0.9563266732172546,0.48925648082217993,0.9289903711892606
169,0.44,0.87,0.91,0.64,0.86,0.88,0.8038,0.4986,0.7455,0.52,0.86,0.89,0.9564878096640023,0.5021762037445554,0.9301544699847546
170,0.45,0.87,0.91,0.65,0.86,0.88,0.8038,0.509,0.7462,0.53,0.86,0.9,0.9562202718301204,0.5024089904619774,0.9296448384629064
171,0.43,0.87,0.91,0.64,0.85,0.88,0.8023,0.4933,0.7399,0.52,0.86,0.89,0.9560235299026739,0.47735672941559143,0.9297609622771643
172,0.44,0.88,0.91,0.66,0.86,0.88,0.8074,0.5085,0.7533,0.53,0.87,0.9,0.9562105104354421,0.47791149043563586,0.9304141560039646
173,0.43,0.88,0.91,0.66,0.85,0.88,0.8017,0.502,0.7441,0.52,0.86,0.89,0.9561757530396497,0.48351737208921197,0.9296093991813809
174,0.43,0.88,0.91,0.66,0.85,0.88,0.8009,0.4989,0.7449,0.52,0.86,0.89,0.9560789057640089,0.4835885672740072,0.9295994899646062
175,0.43,0.88,0.91,0.67,0.85,0.88,0.8025,0.5039,0.7455,0.52,0.86,0.89,0.956068585804396,0.48120461495513056,0.9301054553231942
176,0.43,0.88,0.91,0.68,0.86,0.88,0.8053,0.5108,0.7519,0.53,0.87,0.9,0.9563288592580343,0.48703437131967153,0.9294140404686628
177,0.43,0.88,0.91,0.67,0.85,0.88,0.801,0.5077,0.7434,0.53,0.86,0.89,0.9564011289503054,0.4974827501490712,0.9296758745623767
178,0.43,0.88,0.91,0.67,0.85,0.88,0.801,0.5077,0.7434,0.53,0.86,0.89,0.9564011289503054,0.4974827501490712,0.9296758745623767
179,0.44,0.87,0.91,0.67,0.85,0.88,0.8017,0.5103,0.7427,0.53,0.86,0.89,0.9563671682113237,0.4996984543302634,0.929741511937817
180,0.43,0.88,0.91,0.68,0.85,0.88,0.7996,0.507,0.7427,0.53,0.86,0.89,0.9563888994080586,0.5068093045044024,0.9302550712318194
181,0.43,0.87,0.91,0.66,0.85,0.88,0.801,0.502,0.7406,0.52,0.86,0.89,0.9564455624745196,0.4870855585295356,0.9304279296623073
182,0.44,0.87,0.91,0.68,0.85,0.88,0.801,0.516,0.742,0.54,0.86,0.89,0.956297636220175,0.5030550191879761,0.9300764056713269
183,0.44,0.88,0.91,0.68,0.85,0.88,0.8038,0.519,0.7477,0.54,0.87,0.89,0.9562449780523699,0.5003244232395011,0.9294430368284949
184,0.44,0.88,0.91,0.68,0.85,0.88,0.8017,0.5121,0.7477,0.53,0.87,0.89,0.9560741715544138,0.49573366411382347,0.9292070119128122
185,0.45,0.88,0.91,0.7,0.85,0.88,0.8031,0.5304,0.7484,0.55,0.87,0.89,0.9564315539852706,0.5114216179084301,0.9293554401091124
186,0.43,0.87,0.91,0.66,0.85,0.88,0.801,0.5046,0.7392,0.52,0.86,0.89,0.9563454490704058,0.49526908358342125,0.9292527892783453
187,0.44,0.87,0.91,0.66,0.85,0.88,0.8017,0.5085,0.742,0.53,0.86,0.89,0.9563698479031584,0.48584925807874285,0.929625766461937
188,0.43,0.87,0.91,0.66,0.85,0.88,0.8032,0.5033,0.7434,0.52,0.86,0.89,0.9561160949113885,0.5007295709766608,0.9289913269424015
189,0.45,0.88,0.91,0.67,0.86,0.88,0.8031,0.5156,0.747,0.54,0.87,0.89,0.9562358437249492,0.47939326891479206,0.9290694925700922
190,0.43,0.87,0.91,0.64,0.85,0.88,0.8046,0.4926,0.7427,0.51,0.86,0.89,0.956159619452349,0.4809201677835676,0.9291513634650806
191,0.43,0.88,0.91,0.65,0.85,0.88,0.8052,0.4996,0.7455,0.52,0.86,0.9,0.9567709411852506,0.4902820258840125,0.929492612118031
192,0.43,0.87,0.91,0.64,0.86,0.88,0.8024,0.4894,0.7462,0.51,0.87,0.89,0.956273451987807,0.4766523147575158,0.9282790737262389
193,0.43,0.87,0.91,0.63,0.86,0.88,0.8045,0.4888,0.7455,0.51,0.86,0.9,0.9564138340045482,0.4805955739921411,0.928621891859301
194,0.42,0.87,0.91,0.61,0.85,0.88,0.8031,0.4726,0.7406,0.5,0.86,0.89,0.956544409619722,0.49354472616285183,0.9291285421991894
195,0.43,0.87,0.91,0.64,0.86,0.88,0.8025,0.4881,0.7455,0.51,0.86,0.89,0.9563291203838488,0.4946951231179792,0.9287970810603114
196,0.43,0.87,0.91,0.64,0.86,0.88,0.806,0.4939,0.7448,0.52,0.86,0.9,0.9562075899299592,0.5051034788845102,0.9293049422383668
197,0.43,0.87,0.91,0.66,0.86,0.88,0.8067,0.5002,0.747,0.52,0.87,0.9,0.9565032689540793,0.4893297855463862,0.9292063378069205
198,0.43,0.87,0.91,0.65,0.85,0.88,0.8025,0.4944,0.7427,0.52,0.86,0.89,0.9563042182985764,0.5044105029279351,0.9291473335870799
199,0.44,0.87,0.91,0.66,0.86,0.88,0.8081,0.5094,0.7491,0.53,0.87,0.9,0.956855646774788,0.5161403109073613,0.9297521248487413
200,0.44,0.88,0.91,0.67,0.86,0.88,0.8053,0.509,0.7484,0.53,0.87,0.9,0.956152702333868,0.5115575716718065,0.9295125723711676
201,0.43,0.87,0.91,0.65,0.86,0.88,0.8032,0.4983,0.7455,0.52,0.86,0.89,0.956899345474502,0.5210289884435567,0.9297929618007029
202,0.45,0.87,0.91,0.64,0.86,0.88,0.8052,0.5059,0.7505,0.53,0.87,0.9,0.9565440575034867,0.5155269369594239,0.9297715723142178
203,0.44,0.87,0.91,0.66,0.86,0.87,0.8011,0.5125,0.7491,0.53,0.87,0.89,0.9564725381778938,0.506962627807176,0.9293285502574486
204,0.44,0.88,0.91,0.67,0.86,0.88,0.8046,0.5116,0.7505,0.53,0.87,0.89,0.9563845733228578,0.5265668725010075,0.9290948478016796
205,0.44,0.88,0.91,0.68,0.86,0.88,0.8061,0.5164,0.7498,0.53,0.87,0.9,0.9566604312881283,0.5433005701895025,0.9292022754397229
206,0.43,0.88,0.91,0.68,0.86,0.88,0.8054,0.5082,0.7491,0.53,0.87,0.9,0.9561800565696875,0.5509749610760635,0.9298769239489783
207,0.44,0.88,0.91,0.69,0.85,0.88,0.8032,0.5195,0.7484,0.54,0.87,0.89,0.9565242216976615,0.5458283019604966,0.9291465928306403
208,0.45,0.88,0.91,0.69,0.86,0.88,0.8025,0.5261,0.7484,0.54,0.87,0.89,0.9565545273306924,0.5444468257973173,0.9293884539991003
209,0.43,0.88,0.91,0.7,0.85,0.88,0.8031,0.5187,0.7435,0.54,0.86,0.89,0.9559442557444867,0.521169540742499,0.9301982141785192
210,0.45,0.88,0.91,0.68,0.86,0.88,0.8046,0.523,0.7519,0.54,0.87,0.89,0.9557370315644816,0.5255669047134832,0.929361458622326
211,0.44,0.88,0.91,0.68,0.86,0.88,0.8053,0.5134,0.7505,0.53,0.87,0.9,0.9562370588521399,0.50006510814625,0.9303427607990177
212,0.44,0.88,0.91,0.68,0.86,0.88,0.8039,0.5152,0.7484,0.53,0.87,0.89,0.9564983743284634,0.528731783249901,0.9300714991383363
213,0.44,0.88,0.91,0.68,0.86,0.88,0.8032,0.5121,0.7477,0.53,0.87,0.89,0.956597539000213,0.5255024563571778,0.9304516518784735
214,0.44,0.88,0.91,0.69,0.86,0.88,0.801,0.5234,0.7484,0.54,0.87,0.89,0.9565686618598428,0.5217591793406371,0.9297040022630261
215,0.43,0.88,0.91,0.68,0.85,0.88,0.8046,0.5045,0.7477,0.52,0.87,0.89,0.9561746059725283,0.5403716884251397,0.9306479321063954
216,0.44,0.87,0.91,0.67,0.86,0.88,0.8025,0.5103,0.7462,0.53,0.87,0.89,0.9564805628947932,0.540563816350018,0.9301485760035969
