Model,GOF Precision,LOF Precision,Neutral Precision,GOF Recall,LOF Recall,Neutral Recall,Neutral MCC,GOF MCC,LOF MCC,GOF F1,LOF F1,Neutral F1
27,0.24,0.87,0.91,0.64,0.76,0.86,0.7893,0.3386,0.6674,0.35,0.81,0.89
28,0.24,0.87,0.92,0.64,0.76,0.86,0.7937,0.341,0.6755,0.35,0.82,0.89
29,0.25,0.88,0.91,0.67,0.76,0.86,0.7937,0.3617,0.675,0.37,0.82,0.89
30,0.26,0.88,0.91,0.67,0.77,0.86,0.7922,0.366,0.6784,0.37,0.82,0.89
31,0.26,0.88,0.92,0.67,0.77,0.86,0.7951,0.366,0.6782,0.37,0.82,0.89
32,0.26,0.88,0.92,0.67,0.77,0.86,0.7951,0.366,0.6782,0.37,0.82,0.89
33,0.29,0.88,0.92,0.72,0.78,0.87,0.7972,0.4094,0.7006,0.41,0.83,0.89
34,0.29,0.89,0.91,0.7,0.79,0.87,0.7948,0.4062,0.7047,0.41,0.83,0.89
35,0.29,0.88,0.91,0.68,0.79,0.87,0.7977,0.4005,0.7023,0.41,0.83,0.89
36,0.29,0.88,0.91,0.67,0.79,0.87,0.799,0.3961,0.7014,0.41,0.83,0.89
37,0.32,0.89,0.91,0.73,0.79,0.87,0.8012,0.4382,0.71,0.44,0.84,0.89
38,0.31,0.89,0.91,0.72,0.79,0.87,0.8005,0.4319,0.708,0.44,0.84,0.89
39,0.31,0.89,0.91,0.72,0.8,0.87,0.8005,0.4318,0.7106,0.44,0.84,0.89
40,0.31,0.88,0.91,0.71,0.8,0.87,0.8005,0.4263,0.7084,0.43,0.84,0.89
41,0.31,0.88,0.91,0.72,0.79,0.87,0.8005,0.4287,0.7064,0.43,0.84,0.89
42,0.31,0.88,0.91,0.72,0.79,0.87,0.8005,0.4287,0.7064,0.43,0.84,0.89
43,0.31,0.88,0.91,0.7,0.8,0.87,0.7998,0.419,0.7069,0.43,0.84,0.89
44,0.31,0.88,0.91,0.69,0.8,0.87,0.797,0.4158,0.7068,0.42,0.84,0.89
45,0.31,0.89,0.91,0.7,0.8,0.87,0.799,0.4214,0.7126,0.43,0.84,0.89
46,0.31,0.88,0.91,0.69,0.8,0.87,0.7991,0.4158,0.7117,0.42,0.84,0.89
47,0.31,0.88,0.91,0.69,0.8,0.87,0.7954,0.4214,0.7132,0.43,0.84,0.89
48,0.31,0.88,0.91,0.69,0.8,0.87,0.7954,0.4214,0.7132,0.43,0.84,0.89
49,0.31,0.88,0.91,0.69,0.8,0.87,0.7997,0.4198,0.7132,0.43,0.84,0.89
50,0.31,0.88,0.91,0.69,0.8,0.87,0.7997,0.4198,0.7132,0.43,0.84,0.89
51,0.28,0.87,0.91,0.54,0.81,0.87,0.8012,0.3378,0.707,0.37,0.84,0.89
52,0.23,0.85,0.91,0.41,0.81,0.87,0.799,0.2525,0.689,0.29,0.83,0.89
53,0.26,0.86,0.91,0.49,0.81,0.87,0.8026,0.305,0.7005,0.34,0.84,0.89
54,0.18,0.85,0.91,0.34,0.8,0.87,0.7939,0.1906,0.677,0.24,0.83,0.89
55,0.18,0.85,0.91,0.34,0.8,0.87,0.7968,0.19,0.682,0.24,0.83,0.89
56,0.19,0.85,0.91,0.34,0.81,0.87,0.7947,0.1995,0.6819,0.25,0.83,0.89
57,0.2,0.85,0.91,0.36,0.81,0.87,0.7932,0.2095,0.6841,0.25,0.83,0.89
58,0.17,0.84,0.91,0.3,0.81,0.87,0.7983,0.1673,0.6775,0.22,0.83,0.89
59,0.17,0.84,0.91,0.3,0.81,0.87,0.7983,0.1673,0.6775,0.22,0.83,0.89
60,0.17,0.84,0.91,0.3,0.81,0.87,0.7983,0.1673,0.6775,0.22,0.83,0.89
61,0.17,0.85,0.91,0.3,0.81,0.87,0.7989,0.1667,0.6789,0.22,0.83,0.89
62,0.19,0.85,0.91,0.33,0.81,0.87,0.799,0.1956,0.6824,0.24,0.83,0.89
63,0.18,0.85,0.91,0.32,0.81,0.87,0.7982,0.1805,0.6825,0.23,0.83,0.89
64,0.2,0.85,0.91,0.34,0.82,0.87,0.7982,0.2016,0.6896,0.25,0.83,0.89
65,0.19,0.85,0.91,0.32,0.81,0.87,0.7996,0.1877,0.6846,0.24,0.83,0.89
