Model,GOF Precision,LOF Precision,Neutral Precision,GOF Recall,LOF Recall,Neutral Recall,Neutral MCC,GOF MCC,LOF MCC,GOF F1,LOF F1,Neutral F1
60,0.23,0.84,0.92,0.09,0.9,0.92,0.8512,0.1157,0.744,0.13,0.87,0.92
61,0.29,0.84,0.92,0.11,0.9,0.92,0.8526,0.1462,0.7478,0.15,0.87,0.92
62,0.28,0.84,0.92,0.11,0.9,0.92,0.8519,0.1425,0.747,0.15,0.87,0.92
63,0.28,0.84,0.93,0.11,0.91,0.92,0.8547,0.1444,0.7508,0.15,0.87,0.92
64,0.31,0.85,0.93,0.12,0.91,0.93,0.8632,0.1627,0.7603,0.17,0.88,0.93
65,0.27,0.84,0.92,0.11,0.9,0.92,0.8526,0.139,0.7504,0.15,0.87,0.92
66,0.29,0.84,0.93,0.12,0.9,0.92,0.8533,0.1605,0.7497,0.17,0.87,0.92
67,0.3,0.84,0.93,0.12,0.9,0.92,0.8554,0.1659,0.7482,0.18,0.87,0.92
68,0.28,0.84,0.92,0.11,0.9,0.92,0.8505,0.1499,0.7467,0.16,0.87,0.92
69,0.31,0.84,0.92,0.11,0.9,0.92,0.8484,0.1595,0.7457,0.16,0.87,0.92
70,0.32,0.84,0.92,0.12,0.9,0.92,0.8526,0.1717,0.7519,0.18,0.87,0.92
71,0.3,0.84,0.92,0.11,0.9,0.92,0.8498,0.1555,0.7442,0.16,0.87,0.92
72,0.29,0.84,0.92,0.12,0.9,0.92,0.849,0.1571,0.7457,0.17,0.87,0.92
73,0.25,0.84,0.92,0.11,0.9,0.92,0.8533,0.134,0.7447,0.15,0.87,0.92
74,0.26,0.84,0.92,0.11,0.9,0.92,0.8491,0.1357,0.744,0.15,0.87,0.92
75,0.24,0.84,0.92,0.09,0.9,0.92,0.8512,0.1141,0.746,0.13,0.87,0.92
76,0.33,0.84,0.93,0.11,0.91,0.92,0.8512,0.1658,0.7514,0.17,0.87,0.92
77,0.32,0.84,0.92,0.12,0.9,0.92,0.8512,0.1717,0.7464,0.18,0.87,0.92
78,0.28,0.84,0.92,0.11,0.9,0.92,0.8512,0.1444,0.7457,0.15,0.87,0.92
79,0.28,0.84,0.92,0.1,0.9,0.92,0.8505,0.1386,0.7445,0.15,0.87,0.92
80,0.33,0.84,0.92,0.11,0.91,0.92,0.8547,0.168,0.7522,0.17,0.87,0.92
81,0.33,0.84,0.92,0.1,0.91,0.92,0.8519,0.1553,0.7503,0.15,0.87,0.92
82,0.31,0.84,0.92,0.11,0.9,0.92,0.8477,0.1541,0.7429,0.16,0.87,0.92
83,0.47,0.84,0.92,0.16,0.91,0.92,0.8505,0.2505,0.7583,0.24,0.88,0.92
84,0.41,0.84,0.92,0.12,0.91,0.92,0.8484,0.1981,0.754,0.18,0.87,0.92
85,0.43,0.84,0.92,0.13,0.91,0.92,0.8526,0.2143,0.759,0.2,0.88,0.92
86,0.47,0.84,0.92,0.13,0.91,0.92,0.8512,0.2267,0.7603,0.21,0.88,0.92
87,0.45,0.84,0.93,0.12,0.92,0.92,0.8519,0.2171,0.7582,0.2,0.88,0.92
88,0.38,0.84,0.92,0.12,0.91,0.92,0.8526,0.1941,0.7539,0.19,0.87,0.92
89,0.47,0.84,0.93,0.14,0.92,0.92,0.854,0.2328,0.762,0.21,0.88,0.92
90,0.42,0.84,0.93,0.11,0.92,0.92,0.8561,0.1901,0.758,0.17,0.88,0.92
91,0.5,0.84,0.92,0.12,0.91,0.92,0.8512,0.2247,0.756,0.19,0.88,0.92
92,0.62,0.84,0.93,0.17,0.92,0.92,0.854,0.3078,0.7629,0.27,0.88,0.92
93,0.58,0.85,0.92,0.18,0.92,0.92,0.8533,0.3086,0.7646,0.28,0.88,0.92
