Model,GOF Precision,LOF Precision,Neutral Precision,GOF Recall,LOF Recall,Neutral Recall,Neutral MCC,GOF MCC,LOF MCC,GOF F1,LOF F1,Neutral F1,Neutral AP,GOF AP,LOF AP
26,0.46,0.88,0.92,0.62,0.86,0.91,0.8476,0.5047,0.7562,0.53,0.87,0.92,0.9684218885397027,0.4814086818309716,0.9268721997085119
27,0.49,0.88,0.92,0.57,0.87,0.91,0.8476,0.5002,0.7669,0.53,0.88,0.92,0.9678214976034706,0.502810991742142,0.9293896934495967
28,0.52,0.88,0.92,0.62,0.87,0.91,0.8476,0.5416,0.7711,0.57,0.88,0.92,0.9687378217241149,0.5591725552472108,0.9322841362059566
29,0.52,0.88,0.93,0.61,0.88,0.92,0.8505,0.5357,0.7711,0.56,0.88,0.92,0.9696543473777843,0.5162358867041466,0.9326310213808439
30,0.51,0.88,0.92,0.57,0.87,0.92,0.8519,0.5124,0.7676,0.54,0.88,0.92,0.9693708560446814,0.5576296714257317,0.9331373940778548
31,0.5,0.88,0.92,0.61,0.87,0.92,0.8498,0.5237,0.7654,0.55,0.88,0.92,0.9689739985668018,0.5645710929486106,0.9350839057888651
32,0.52,0.88,0.92,0.58,0.87,0.92,0.8519,0.5202,0.7683,0.55,0.88,0.92,0.9692045458611592,0.5313506912101463,0.9359413497256753
33,0.57,0.89,0.93,0.64,0.88,0.92,0.8554,0.5823,0.7817,0.6,0.88,0.92,0.9684959053790443,0.6325119681305059,0.9361622821260249
34,0.49,0.88,0.93,0.56,0.87,0.92,0.8547,0.497,0.7683,0.52,0.88,0.92,0.9686786886017824,0.5202777947223672,0.9352616708963887
35,0.53,0.89,0.93,0.59,0.88,0.92,0.8547,0.5287,0.776,0.55,0.88,0.92,0.9689438379625033,0.5311822695289756,0.9365793760608218
36,0.51,0.88,0.92,0.55,0.88,0.92,0.8519,0.4995,0.769,0.53,0.88,0.92,0.9695424519367026,0.48610844689303345,0.9352742191852995
37,0.54,0.89,0.92,0.6,0.88,0.92,0.8533,0.54,0.7782,0.57,0.88,0.92,0.9697248928451786,0.5346344013041503,0.9372488891554318
38,0.59,0.89,0.93,0.62,0.89,0.92,0.8561,0.5817,0.786,0.6,0.89,0.92,0.9701260215102365,0.6063090928231802,0.93847127343759
39,0.57,0.89,0.93,0.6,0.89,0.92,0.854,0.5593,0.7832,0.58,0.89,0.92,0.9696787128751566,0.5398401084054878,0.9370596865925969
40,0.54,0.88,0.93,0.55,0.88,0.92,0.8576,0.5194,0.7797,0.55,0.88,0.92,0.9694705695400324,0.5118900035186887,0.9372112904493731
41,0.56,0.89,0.93,0.62,0.88,0.92,0.8576,0.5656,0.7817,0.59,0.88,0.92,0.9685162469299957,0.5389580565069542,0.9323409716558806
