Model,GOF Recall,LOF Recall,Neutral Recall
362,0.36,0.92,0.92
363,0.36,0.92,0.92
364,0.35,0.92,0.92
365,0.36,0.92,0.92
366,0.39,0.92,0.92
367,0.39,0.92,0.92
368,0.37,0.92,0.92
369,0.36,0.92,0.92
370,0.38,0.92,0.92
371,0.38,0.92,0.92
372,0.36,0.92,0.92
373,0.36,0.92,0.92
374,0.39,0.92,0.92
375,0.38,0.92,0.92
376,0.36,0.92,0.92
377,0.38,0.92,0.92
378,0.37,0.92,0.92
379,0.38,0.92,0.92
380,0.37,0.92,0.92
381,0.36,0.92,0.92
382,0.37,0.92,0.92
383,0.34,0.92,0.92
384,0.38,0.92,0.92
385,0.36,0.92,0.92
386,0.36,0.92,0.92
387,0.38,0.93,0.92
388,0.36,0.92,0.92
389,0.39,0.92,0.92
390,0.41,0.92,0.92
391,0.38,0.92,0.92
392,0.39,0.92,0.92
393,0.42,0.92,0.92
394,0.4,0.92,0.92
395,0.38,0.92,0.92
396,0.42,0.92,0.92
397,0.4,0.92,0.92
398,0.39,0.92,0.92
399,0.41,0.92,0.92
400,0.42,0.92,0.92
401,0.44,0.92,0.92
402,0.43,0.92,0.92
403,0.39,0.92,0.92
404,0.41,0.92,0.92
405,0.4,0.92,0.92
406,0.43,0.92,0.92
407,0.4,0.93,0.92
408,0.43,0.92,0.92
409,0.38,0.92,0.92
410,0.43,0.92,0.92
411,0.4,0.92,0.92
412,0.41,0.92,0.92
413,0.41,0.92,0.92
414,0.41,0.92,0.92
415,0.41,0.92,0.92
416,0.41,0.92,0.92
417,0.4,0.92,0.92
418,0.38,0.92,0.92
419,0.39,0.92,0.92
420,0.42,0.92,0.92
421,0.42,0.92,0.92
422,0.41,0.92,0.92
423,0.41,0.92,0.92
424,0.39,0.92,0.92
425,0.39,0.92,0.92
426,0.41,0.92,0.92
427,0.42,0.92,0.92
428,0.39,0.92,0.92
429,0.41,0.92,0.92
430,0.42,0.92,0.92
431,0.41,0.92,0.92
432,0.36,0.93,0.92
433,0.4,0.92,0.92
434,0.41,0.92,0.92
435,0.4,0.92,0.92
436,0.39,0.92,0.92
437,0.39,0.92,0.92
438,0.39,0.92,0.92
439,0.39,0.92,0.92
440,0.42,0.92,0.92
441,0.43,0.92,0.92
442,0.43,0.92,0.92
443,0.43,0.92,0.92
444,0.41,0.92,0.92
445,0.43,0.92,0.92
446,0.44,0.92,0.92
447,0.41,0.92,0.92
448,0.4,0.92,0.92
449,0.41,0.92,0.92
450,0.41,0.92,0.92
451,0.43,0.93,0.92
452,0.43,0.93,0.92
453,0.41,0.92,0.92
454,0.4,0.92,0.92
455,0.41,0.92,0.92
456,0.39,0.92,0.92
457,0.41,0.92,0.92
458,0.39,0.92,0.92
459,0.4,0.92,0.92
460,0.41,0.92,0.92
461,0.42,0.92,0.92
462,0.42,0.92,0.92
463,0.41,0.92,0.92
464,0.41,0.92,0.92
465,0.38,0.92,0.92
466,0.38,0.92,0.92
467,0.41,0.92,0.92
468,0.39,0.92,0.92
469,0.38,0.92,0.92
470,0.43,0.92,0.92
471,0.41,0.92,0.92
472,0.41,0.92,0.92
473,0.43,0.92,0.92
474,0.41,0.92,0.92
475,0.36,0.92,0.92
476,0.39,0.92,0.92
477,0.42,0.92,0.92
478,0.4,0.92,0.92
479,0.41,0.92,0.92
480,0.39,0.92,0.92
481,0.38,0.92,0.92
482,0.36,0.92,0.92
483,0.38,0.92,0.92
484,0.4,0.92,0.92
485,0.41,0.93,0.92
486,0.41,0.92,0.92
487,0.42,0.92,0.92
488,0.41,0.92,0.92
489,0.41,0.92,0.92
490,0.44,0.92,0.92
491,0.42,0.92,0.92
492,0.41,0.92,0.92
493,0.37,0.92,0.92
494,0.41,0.92,0.92
495,0.4,0.92,0.92
496,0.45,0.92,0.92
497,0.39,0.92,0.92
498,0.39,0.92,0.92
499,0.4,0.92,0.92
