Model,GOF F1,LOF F1,Neutral F1
117,0.34,0.88,0.92
240,0.34,0.88,0.92
15,0.34,0.86,0.92
189,0.34,0.89,0.92
187,0.34,0.89,0.92
163,0.34,0.88,0.92
186,0.33,0.89,0.92
166,0.33,0.88,0.92
173,0.33,0.89,0.92
147,0.33,0.88,0.92
223,0.33,0.88,0.92
104,0.33,0.88,0.92
190,0.33,0.89,0.92
214,0.33,0.88,0.92
188,0.33,0.88,0.92
203,0.32,0.88,0.92
102,0.32,0.88,0.92
101,0.32,0.88,0.92
100,0.32,0.88,0.92
200,0.32,0.88,0.92
143,0.32,0.89,0.92
194,0.32,0.89,0.92
150,0.32,0.88,0.92
148,0.32,0.88,0.92
153,0.31,0.89,0.92
165,0.31,0.88,0.92
192,0.31,0.88,0.92
201,0.31,0.88,0.92
151,0.31,0.88,0.92
157,0.31,0.88,0.92
158,0.3,0.88,0.92
114,0.3,0.88,0.92
159,0.3,0.88,0.92
103,0.3,0.88,0.92
108,0.3,0.88,0.92
167,0.3,0.88,0.92
160,0.3,0.88,0.92
154,0.29,0.89,0.92
98,0.29,0.88,0.92
96,0.29,0.88,0.92
156,0.29,0.88,0.92
93,0.28,0.88,0.92
161,0.28,0.88,0.92
152,0.28,0.88,0.92
51,0.27,0.87,0.92
4,0.27,0.73,0.86
92,0.27,0.88,0.92
131,0.27,0.88,0.92
149,0.26,0.88,0.92
5,0.25,0.78,0.87
155,0.25,0.88,0.92
97,0.24,0.88,0.92
83,0.24,0.88,0.92
1,0.22,0.68,0.76
3,0.22,0.68,0.77
2,0.22,0.68,0.76
89,0.21,0.88,0.92
86,0.21,0.88,0.92
87,0.2,0.88,0.92
52,0.2,0.87,0.92
85,0.2,0.88,0.92
94,0.2,0.88,0.92
95,0.2,0.87,0.92
53,0.2,0.87,0.92
88,0.19,0.87,0.92
91,0.19,0.88,0.92
84,0.18,0.87,0.92
70,0.18,0.87,0.92
67,0.18,0.87,0.92
77,0.18,0.87,0.92
59,0.18,0.87,0.92
72,0.17,0.87,0.92
66,0.17,0.87,0.92
80,0.17,0.87,0.92
76,0.17,0.87,0.92
90,0.17,0.88,0.92
64,0.17,0.88,0.93
82,0.16,0.87,0.92
68,0.16,0.87,0.92
69,0.16,0.87,0.92
71,0.16,0.87,0.92
54,0.15,0.87,0.92
62,0.15,0.87,0.92
81,0.15,0.87,0.92
58,0.15,0.87,0.92
79,0.15,0.87,0.92
78,0.15,0.87,0.92
99,0.15,0.87,0.92
74,0.15,0.87,0.92
73,0.15,0.87,0.92
65,0.15,0.87,0.92
63,0.15,0.87,0.92
61,0.15,0.87,0.92
57,0.14,0.87,0.93
55,0.14,0.87,0.92
56,0.14,0.87,0.92
75,0.13,0.87,0.92
60,0.13,0.87,0.92
