Model,Neutral MCC,GOF MCC,LOF MCC
374,0.8568,0.5382,0.7931
375,0.854,0.5208,0.7899
376,0.854,0.503,0.7866
377,0.8568,0.5306,0.7899
378,0.8554,0.5149,0.789
379,0.8547,0.5131,0.7859
380,0.8554,0.5149,0.7878
381,0.8583,0.5213,0.7907
382,0.8526,0.5189,0.7856
383,0.8562,0.4928,0.7862
384,0.8561,0.5208,0.7889
385,0.8583,0.513,0.7906
386,0.854,0.509,0.7855
387,0.859,0.5347,0.7943
388,0.854,0.5171,0.7872
389,0.8533,0.5446,0.788
390,0.854,0.5457,0.7894
391,0.8576,0.5347,0.7909
392,0.8597,0.5364,0.793
393,0.8576,0.5726,0.7973
394,0.8561,0.5559,0.7938
395,0.8583,0.5347,0.7932
396,0.8547,0.5726,0.7943
397,0.8568,0.5478,0.7944
398,0.8583,0.5503,0.7953
399,0.8561,0.5712,0.7944
400,0.8576,0.5686,0.7953
401,0.8554,0.5771,0.7936
402,0.854,0.5835,0.795
403,0.8554,0.5422,0.7896
404,0.8576,0.5616,0.7946
405,0.8576,0.5519,0.7931
406,0.8554,0.5662,0.7949
407,0.8597,0.5559,0.7975
408,0.8568,0.5795,0.7958
409,0.8583,0.5248,0.7917
410,0.8568,0.5741,0.7978
411,0.8576,0.5519,0.7959
412,0.8561,0.5457,0.7931
413,0.859,0.5513,0.7949
414,0.8554,0.5591,0.7929
415,0.8568,0.5631,0.7967
416,0.8576,0.5591,0.7966
417,0.8561,0.54,0.7909
418,0.8547,0.5267,0.7894
419,0.854,0.5462,0.7889
420,0.8554,0.5607,0.7958
421,0.8547,0.5726,0.7943
422,0.8568,0.5475,0.7949
423,0.8576,0.5552,0.7943
424,0.8547,0.5422,0.7917
425,0.8512,0.5462,0.7875
426,0.8568,0.5671,0.7961
427,0.8561,0.5569,0.7929
428,0.859,0.5422,0.7944
429,0.8554,0.5535,0.7949
430,0.8569,0.5646,0.7949
431,0.8526,0.5575,0.79
432,0.8583,0.5171,0.7929
433,0.8554,0.5439,0.7909
434,0.8561,0.5552,0.7958
435,0.8583,0.5478,0.7945
436,0.8576,0.5405,0.7918
437,0.859,0.5462,0.794
438,0.8547,0.5503,0.7919
439,0.8597,0.5405,0.7939
440,0.8561,0.5646,0.7957
441,0.8569,0.5701,0.797
442,0.8554,0.5835,0.7965
443,0.8583,0.5781,0.7985
444,0.8597,0.5591,0.7972
445,0.859,0.5741,0.7987
446,0.8576,0.581,0.7979
447,0.8568,0.5496,0.793
448,0.8597,0.5439,0.7966
449,0.8554,0.5591,0.7943
450,0.8568,0.5631,0.7967
451,0.859,0.5756,0.8003
452,0.8604,0.5717,0.7995
453,0.8561,0.5575,0.7937
454,0.8568,0.5478,0.7946
455,0.8597,0.5575,0.7973
456,0.8561,0.5503,0.7931
457,0.8533,0.5457,0.79
458,0.8576,0.5364,0.791
459,0.8568,0.5519,0.7926
460,0.8583,0.5552,0.7965
461,0.8519,0.5607,0.7892
462,0.859,0.5607,0.7964
463,0.8597,0.5535,0.7966
464,0.8583,0.5591,0.7945
465,0.8583,0.5228,0.794
466,0.8547,0.5306,0.7889
467,0.859,0.5552,0.7958
468,0.8576,0.5364,0.7911
469,0.8568,0.5306,0.791
470,0.8561,0.5662,0.7958
471,0.854,0.5575,0.7915
472,0.8547,0.5552,0.7916
473,0.8561,0.5701,0.7952
474,0.8568,0.5616,0.7953
475,0.8547,0.513,0.787
476,0.8597,0.5382,0.796
477,0.8569,0.5607,0.7956
478,0.8554,0.5559,0.7931
479,0.854,0.5575,0.7915
480,0.8561,0.5325,0.7904
481,0.8561,0.5248,0.7896
482,0.8576,0.5171,0.7905
483,0.859,0.5306,0.7934
484,0.8519,0.5478,0.7881
485,0.859,0.5575,0.7982
486,0.8597,0.5591,0.7973
487,0.8576,0.5686,0.7967
488,0.8583,0.5575,0.7948
489,0.8576,0.5513,0.7935
490,0.8611,0.5771,0.8005
491,0.854,0.5569,0.7922
492,0.8561,0.5552,0.7943
493,0.8562,0.523,0.7895
494,0.8561,0.5496,0.7923
495,0.8561,0.5439,0.7915
496,0.859,0.5956,0.8013
497,0.8597,0.5422,0.7939
498,0.8561,0.5462,0.7937
499,0.8576,0.5478,0.7952
