Model,GOF Recall,LOF Recall,Neutral Recall
437,0.45,0.92,0.91
438,0.45,0.92,0.92
439,0.45,0.92,0.92
440,0.47,0.92,0.92
441,0.49,0.93,0.92
442,0.47,0.92,0.92
443,0.47,0.93,0.92
444,0.45,0.92,0.92
445,0.47,0.92,0.92
446,0.48,0.93,0.92
447,0.44,0.93,0.92
448,0.43,0.92,0.92
449,0.46,0.92,0.92
450,0.46,0.93,0.92
451,0.47,0.93,0.92
452,0.46,0.92,0.92
453,0.48,0.93,0.92
454,0.42,0.93,0.92
455,0.46,0.93,0.92
456,0.49,0.93,0.92
457,0.46,0.93,0.92
458,0.42,0.92,0.92
459,0.47,0.92,0.92
460,0.45,0.92,0.92
461,0.45,0.93,0.92
462,0.44,0.93,0.92
463,0.44,0.93,0.92
464,0.44,0.93,0.92
465,0.42,0.93,0.92
466,0.43,0.93,0.92
467,0.41,0.92,0.92
468,0.45,0.93,0.92
469,0.49,0.92,0.92
470,0.45,0.93,0.92
471,0.44,0.92,0.92
472,0.45,0.93,0.92
473,0.43,0.93,0.92
474,0.45,0.93,0.92
475,0.45,0.93,0.92
476,0.42,0.93,0.92
477,0.43,0.93,0.92
478,0.41,0.93,0.92
479,0.39,0.93,0.92
480,0.45,0.92,0.92
481,0.45,0.92,0.92
482,0.46,0.92,0.92
483,0.45,0.92,0.92
484,0.45,0.92,0.92
485,0.45,0.92,0.92
486,0.43,0.92,0.92
487,0.43,0.93,0.92
488,0.43,0.92,0.92
489,0.44,0.93,0.92
490,0.43,0.93,0.92
491,0.45,0.92,0.92
492,0.44,0.93,0.92
493,0.43,0.92,0.92
494,0.43,0.92,0.92
495,0.45,0.92,0.92
496,0.43,0.92,0.92
497,0.44,0.92,0.92
498,0.41,0.93,0.92
499,0.36,0.92,0.92
