Model,micro_recall,macro_recall,confusion_matrix
94,0.8891,0.7508,"[[1222, 3, 114], [8, 64, 80], [93, 16, 1231]]"
95,0.8909,0.7656,"[[1223, 3, 113], [8, 71, 73], [92, 20, 1228]]"
96,0.8909,0.7559,"[[1223, 3, 113], [8, 66, 78], [89, 18, 1233]]"
97,0.8912,0.7620,"[[1224, 3, 112], [8, 69, 75], [90, 20, 1230]]"
98,0.8894,0.7627,"[[1222, 3, 114], [8, 70, 74], [91, 23, 1226]]"
99,0.8898,0.7610,"[[1224, 3, 112], [8, 69, 75], [93, 21, 1226]]"
100,0.8891,0.7566,"[[1224, 4, 111], [8, 67, 77], [90, 24, 1226]]"
101,0.8898,0.7629,"[[1224, 4, 111], [8, 70, 74], [91, 24, 1225]]"
102,0.8909,0.7734,"[[1223, 5, 111], [8, 75, 69], [90, 26, 1224]]"
103,0.8901,0.7690,"[[1225, 4, 110], [8, 73, 71], [93, 25, 1222]]"
104,0.8919,0.7703,"[[1226, 4, 109], [8, 73, 71], [89, 25, 1226]]"
105,0.8958,0.7866,"[[1226, 4, 109], [8, 80, 64], [88, 22, 1230]]"
106,0.8926,0.7785,"[[1224, 3, 112], [8, 77, 67], [93, 21, 1226]]"
107,0.8983,0.7961,"[[1226, 2, 111], [8, 84, 60], [89, 18, 1233]]"
108,0.8961,0.7927,"[[1222, 2, 115], [8, 83, 61], [87, 21, 1232]]"
109,0.8993,0.8047,"[[1227, 1, 111], [6, 88, 58], [91, 18, 1231]]"
110,0.8976,0.8015,"[[1225, 2, 112], [9, 87, 56], [94, 17, 1229]]"
111,0.9004,0.8073,"[[1227, 2, 110], [7, 89, 56], [89, 18, 1233]]"
112,0.9018,0.8142,"[[1228, 3, 108], [8, 92, 52], [91, 16, 1233]]"
113,0.9022,0.8203,"[[1228, 2, 109], [6, 95, 51], [91, 18, 1231]]"
114,0.8972,0.7993,"[[1225, 3, 111], [9, 86, 57], [91, 20, 1229]]"
115,0.8979,0.8095,"[[1225, 4, 110], [7, 91, 54], [95, 19, 1226]]"
116,0.8979,0.8095,"[[1225, 4, 110], [7, 91, 54], [95, 19, 1226]]"
117,0.8972,0.7896,"[[1228, 4, 107], [9, 81, 62], [92, 17, 1231]]"
118,0.8954,0.7961,"[[1228, 6, 105], [8, 85, 59], [92, 26, 1222]]"
119,0.9007,0.8193,"[[1227, 5, 107], [7, 95, 50], [89, 23, 1228]]"
120,0.8969,0.8126,"[[1226, 3, 110], [8, 93, 51], [94, 26, 1220]]"
121,0.8976,0.8073,"[[1227, 4, 108], [8, 90, 54], [94, 22, 1224]]"
122,0.8997,0.8166,"[[1229, 3, 107], [6, 94, 52], [93, 23, 1224]]"
123,0.9000,0.8149,"[[1228, 3, 108], [7, 93, 52], [92, 21, 1227]]"
124,0.8976,0.8170,"[[1226, 4, 109], [7, 95, 50], [94, 26, 1220]]"
125,0.8972,0.8148,"[[1227, 3, 109], [6, 94, 52], [94, 27, 1219]]"
126,0.9014,0.8295,"[[1229, 5, 105], [5, 100, 47], [90, 27, 1223]]"
127,0.9004,0.8248,"[[1229, 5, 105], [6, 98, 48], [91, 27, 1222]]"
128,0.9000,0.8265,"[[1230, 5, 104], [7, 99, 46], [93, 28, 1219]]"
129,0.8990,0.8180,"[[1226, 3, 110], [6, 95, 51], [89, 27, 1224]]"
130,0.8993,0.8183,"[[1228, 5, 106], [7, 95, 50], [94, 23, 1223]]"
131,0.8990,0.8238,"[[1225, 3, 111], [5, 98, 49], [91, 27, 1222]]"
132,0.9018,0.8297,"[[1227, 4, 108], [6, 100, 46], [91, 23, 1226]]"
133,0.9007,0.8270,"[[1227, 4, 108], [5, 99, 48], [91, 25, 1224]]"
134,0.9022,0.8300,"[[1229, 4, 106], [5, 100, 47], [92, 23, 1225]]"
135,0.9018,0.8297,"[[1230, 4, 105], [5, 100, 47], [92, 25, 1223]]"
136,0.9000,0.8226,"[[1227, 3, 109], [5, 97, 50], [92, 24, 1224]]"
137,0.9022,0.8241,"[[1231, 4, 104], [5, 97, 50], [93, 21, 1226]]"
138,0.9000,0.8265,"[[1226, 3, 110], [6, 99, 47], [92, 25, 1223]]"
139,0.9011,0.8273,"[[1230, 4, 105], [5, 99, 48], [93, 25, 1222]]"
140,0.9007,0.8290,"[[1225, 3, 111], [5, 100, 47], [92, 23, 1225]]"
141,0.9039,0.8332,"[[1232, 3, 104], [5, 101, 46], [93, 21, 1226]]"
142,0.9025,0.8302,"[[1229, 3, 107], [5, 100, 47], [90, 24, 1226]]"
143,0.8993,0.8202,"[[1227, 3, 109], [5, 96, 51], [94, 23, 1223]]"
144,0.8993,0.8202,"[[1229, 3, 107], [6, 96, 50], [93, 26, 1221]]"
