Model,Neutral MCC,GOF MCC,LOF MCC
291,0.8583,0.6782,0.8116
292,0.8505,0.6947,0.8083
293,0.8583,0.7154,0.8154
294,0.8583,0.7142,0.8159
295,0.8568,0.6866,0.8117
296,0.854,0.7005,0.8097
297,0.8554,0.6691,0.8063
298,0.8547,0.6738,0.8061
299,0.854,0.713,0.8117
300,0.8583,0.7039,0.8162
301,0.8583,0.6415,0.8079
302,0.8561,0.7187,0.8144
303,0.8554,0.6799,0.8091
304,0.8519,0.7005,0.8077
305,0.8554,0.7063,0.8127
306,0.854,0.6959,0.8076
307,0.8547,0.6747,0.8058
308,0.8554,0.6513,0.8035
309,0.8512,0.6643,0.7999
310,0.8554,0.6799,0.8089
311,0.8547,0.6813,0.8081
312,0.8469,0.647,0.7936
313,0.8512,0.6316,0.7979
314,0.8519,0.6435,0.7979
315,0.8519,0.6581,0.8013
316,0.854,0.6819,0.8069
317,0.8526,0.6691,0.8033
318,0.849,0.6624,0.7984
319,0.8476,0.6719,0.7981
320,0.8561,0.6651,0.8041
321,0.8512,0.6738,0.8025
322,0.854,0.6672,0.8039
323,0.8547,0.6766,0.8089
324,0.8554,0.7042,0.8127
325,0.8519,0.6799,0.8039
326,0.8519,0.6216,0.7986
327,0.8526,0.6415,0.8021
328,0.8512,0.6498,0.7994
329,0.854,0.6464,0.8029
330,0.8512,0.6813,0.8045
331,0.854,0.6752,0.8068
332,0.8561,0.6449,0.805
333,0.8526,0.6748,0.8032
334,0.8512,0.6581,0.8021
335,0.8519,0.6595,0.8027
336,0.8554,0.6479,0.8027
337,0.8533,0.6351,0.7992
338,0.8568,0.6283,0.8027
339,0.8526,0.6166,0.7973
340,0.8526,0.6166,0.7959
341,0.8519,0.6657,0.8006
342,0.8505,0.6609,0.8011
343,0.8533,0.6759,0.8041
344,0.8519,0.6657,0.8021
345,0.8533,0.6846,0.809
346,0.8526,0.6052,0.794
347,0.8512,0.6307,0.7975
348,0.849,0.6127,0.7919
349,0.8554,0.6381,0.8017
350,0.8498,0.6344,0.7967
351,0.8547,0.6443,0.803
352,0.8512,0.6371,0.7979
353,0.8512,0.6664,0.8006
354,0.8547,0.6735,0.8058
355,0.8554,0.6185,0.801
356,0.854,0.6127,0.7968
357,0.8505,0.6723,0.8014
358,0.8505,0.6505,0.7996
359,0.8526,0.6257,0.7981
360,0.8554,0.6653,0.806
361,0.8561,0.6782,0.8091
362,0.8498,0.6206,0.7961
363,0.8526,0.648,0.8002
364,0.8561,0.6457,0.8025
365,0.854,0.6443,0.8009
366,0.8519,0.6639,0.8044
367,0.8547,0.6243,0.8003
368,0.8519,0.6866,0.805
369,0.8554,0.6771,0.8084
370,0.8533,0.6457,0.7998
371,0.8526,0.6808,0.8036
372,0.8512,0.6331,0.7983
373,0.8561,0.6443,0.8031
374,0.8512,0.6307,0.7988
375,0.8519,0.6639,0.8016
376,0.8469,0.6336,0.793
377,0.8505,0.6229,0.7961
378,0.8498,0.6529,0.7995
379,0.854,0.6435,0.8014
380,0.8526,0.615,0.796
381,0.8512,0.6529,0.8009
382,0.8498,0.6498,0.7978
383,0.8533,0.5979,0.7961
384,0.8455,0.6103,0.7918
385,0.8554,0.6206,0.8004
386,0.8505,0.6257,0.799
387,0.8533,0.6243,0.8004
388,0.8476,0.5947,0.792
389,0.8526,0.6185,0.8012
390,0.8498,0.6293,0.7978
391,0.8498,0.5963,0.794
392,0.849,0.6229,0.7963
393,0.8561,0.5985,0.7987
394,0.8561,0.628,0.804
395,0.8512,0.6155,0.797
396,0.8483,0.6,0.7934
397,0.854,0.6031,0.7961
398,0.8561,0.6037,0.8034
399,0.854,0.591,0.7964
400,0.8526,0.5985,0.7964
401,0.8526,0.5985,0.7963
402,0.8533,0.5956,0.7958
403,0.8561,0.5932,0.7993
404,0.854,0.622,0.8003
