Model,GOF Precision,LOF Precision,Neutral Precision,GOF Recall,LOF Recall,Neutral Recall,Neutral MCC,GOF MCC,LOF MCC,GOF F1,LOF F1,Neutral F1,Neutral AP,GOF AP,LOF AP
65,0.45,0.85,0.92,0.22,0.9,0.91,0.8405,0.2925,0.7559,0.3,0.87,0.92,0.9679307162373108,0.3854857492713861,0.9284131166859405
66,0.45,0.84,0.92,0.21,0.91,0.91,0.842,0.2825,0.7548,0.29,0.87,0.92,0.9677480164324209,0.3640399427507799,0.929500244972823
67,0.47,0.85,0.93,0.19,0.92,0.91,0.8462,0.2749,0.7646,0.27,0.88,0.92,0.9680044724148793,0.37325011847606376,0.928318715404381
68,0.53,0.84,0.92,0.2,0.91,0.91,0.842,0.3006,0.7598,0.29,0.88,0.92,0.9677301748346346,0.3707485052810832,0.9261910494674616
69,0.43,0.83,0.93,0.13,0.92,0.91,0.8434,0.2173,0.7529,0.2,0.87,0.92,0.9679416281512729,0.34977851224009304,0.925815036357134
70,0.53,0.85,0.92,0.22,0.91,0.91,0.8448,0.3177,0.7599,0.31,0.88,0.92,0.9682342703138238,0.39729526785821506,0.9254241941286279
71,0.55,0.85,0.92,0.22,0.91,0.91,0.8483,0.3284,0.7635,0.32,0.88,0.92,0.9686881918709674,0.45867958569394407,0.928687664983999
72,0.59,0.85,0.92,0.24,0.92,0.91,0.8469,0.3532,0.7672,0.34,0.88,0.92,0.9688233756568967,0.46971299274838196,0.9279869312999861
73,0.65,0.87,0.92,0.42,0.91,0.91,0.8476,0.5035,0.7826,0.51,0.89,0.92,0.9690387478358743,0.5653685661723558,0.9350033930003883
74,0.71,0.87,0.93,0.43,0.91,0.91,0.849,0.5364,0.7877,0.54,0.89,0.92,0.9695568804128748,0.6004331012234866,0.9359159352439672
75,0.69,0.86,0.92,0.4,0.91,0.91,0.8469,0.5082,0.7809,0.51,0.89,0.92,0.9691237786823904,0.5877791339406583,0.9340838791263353
76,0.69,0.87,0.92,0.47,0.91,0.91,0.8455,0.5533,0.7872,0.56,0.89,0.92,0.9689406117296862,0.6038363370266051,0.9377657427304273
77,0.68,0.87,0.92,0.47,0.91,0.91,0.8441,0.5474,0.7859,0.56,0.89,0.92,0.9691822293400753,0.6059500613894981,0.9361752840348947
78,0.73,0.87,0.93,0.49,0.91,0.91,0.8462,0.5762,0.7883,0.58,0.89,0.92,0.9691282576763762,0.6244051765124796,0.9360721202083802
