Model,GOF Precision,LOF Precision,Neutral Precision,GOF Recall,LOF Recall,Neutral Recall,Neutral MCC,GOF MCC,LOF MCC,GOF F1,LOF F1,Neutral F1
165,0.77,0.88,0.92,0.57,0.91,0.92,0.8505,0.6462,0.7997,0.65,0.9,0.92
166,0.77,0.88,0.93,0.57,0.91,0.92,0.8498,0.6462,0.8005,0.65,0.9,0.92
167,0.79,0.88,0.92,0.54,0.91,0.92,0.8505,0.6366,0.7992,0.64,0.9,0.92
168,0.79,0.88,0.92,0.54,0.91,0.92,0.849,0.6366,0.7978,0.64,0.9,0.92
169,0.79,0.88,0.92,0.54,0.92,0.92,0.8483,0.6366,0.8,0.64,0.9,0.92
170,0.81,0.88,0.92,0.57,0.92,0.92,0.849,0.6629,0.8035,0.67,0.9,0.92
171,0.8,0.88,0.93,0.57,0.92,0.91,0.849,0.6561,0.8022,0.66,0.9,0.92
172,0.79,0.88,0.92,0.59,0.92,0.91,0.8469,0.6686,0.804,0.68,0.9,0.92
173,0.8,0.88,0.93,0.56,0.92,0.92,0.8505,0.6547,0.805,0.66,0.9,0.92
174,0.82,0.88,0.93,0.58,0.92,0.91,0.8512,0.6759,0.8065,0.68,0.9,0.92
175,0.8,0.88,0.93,0.55,0.92,0.91,0.8476,0.6498,0.7987,0.65,0.9,0.92
176,0.79,0.88,0.93,0.53,0.92,0.92,0.8505,0.6351,0.8008,0.64,0.9,0.92
177,0.78,0.88,0.93,0.56,0.92,0.92,0.854,0.6446,0.8048,0.65,0.9,0.92
178,0.79,0.88,0.92,0.55,0.92,0.92,0.8498,0.6464,0.8027,0.65,0.9,0.92
179,0.78,0.87,0.92,0.51,0.92,0.91,0.8483,0.6166,0.7973,0.62,0.9,0.92
180,0.8,0.88,0.93,0.57,0.92,0.91,0.8505,0.6561,0.8021,0.66,0.9,0.92
181,0.78,0.88,0.93,0.55,0.92,0.92,0.8512,0.6397,0.8042,0.65,0.9,0.92
182,0.76,0.87,0.93,0.53,0.92,0.91,0.8505,0.6216,0.7981,0.63,0.9,0.92
183,0.79,0.88,0.92,0.55,0.91,0.91,0.8476,0.6464,0.7978,0.65,0.9,0.92
184,0.77,0.88,0.93,0.58,0.92,0.92,0.8533,0.6495,0.8054,0.66,0.9,0.92
185,0.81,0.88,0.92,0.53,0.92,0.92,0.8512,0.6371,0.8008,0.64,0.9,0.92
186,0.79,0.87,0.92,0.53,0.92,0.91,0.8476,0.6301,0.7959,0.63,0.89,0.92
