Model,micro_recall,macro_recall,confusion_matrix
147,0.8774,0.8398,"[[1225, 14, 100], [6, 114, 32], [95, 100, 1145]]"
148,0.8781,0.8461,"[[1226, 15, 98], [4, 117, 31], [94, 103, 1143]]"
149,0.8764,0.8429,"[[1225, 15, 99], [4, 116, 32], [93, 107, 1140]]"
150,0.8767,0.8432,"[[1225, 17, 97], [5, 116, 31], [92, 107, 1141]]"
151,0.8774,0.8417,"[[1224, 17, 98], [5, 115, 32], [88, 107, 1145]]"
152,0.8781,0.8461,"[[1225, 14, 100], [5, 117, 30], [90, 106, 1144]]"
153,0.8771,0.8415,"[[1225, 15, 99], [5, 115, 32], [88, 109, 1143]]"
154,0.8774,0.8417,"[[1221, 15, 103], [5, 115, 32], [87, 105, 1148]]"
155,0.8781,0.8422,"[[1226, 15, 98], [5, 115, 32], [89, 106, 1145]]"
156,0.8778,0.8420,"[[1225, 16, 98], [5, 115, 32], [87, 108, 1145]]"
157,0.8810,0.8462,"[[1228, 15, 96], [5, 116, 31], [88, 102, 1150]]"
158,0.8788,0.8447,"[[1226, 16, 97], [5, 116, 31], [88, 106, 1146]]"
159,0.8788,0.8427,"[[1227, 16, 96], [5, 115, 32], [86, 108, 1146]]"
160,0.8781,0.8481,"[[1224, 15, 100], [5, 118, 29], [87, 109, 1144]]"
161,0.8792,0.8469,"[[1229, 14, 96], [5, 117, 30], [93, 104, 1143]]"
162,0.8803,0.8515,"[[1230, 14, 95], [5, 119, 28], [89, 108, 1143]]"
163,0.8785,0.8483,"[[1226, 15, 98], [5, 118, 29], [91, 106, 1143]]"
164,0.8778,0.8478,"[[1227, 14, 98], [5, 118, 29], [91, 109, 1140]]"
165,0.8785,0.8464,"[[1228, 14, 97], [5, 117, 30], [89, 109, 1142]]"
166,0.8792,0.8469,"[[1228, 16, 95], [5, 117, 30], [88, 108, 1144]]"
167,0.8781,0.8500,"[[1224, 13, 102], [5, 119, 28], [87, 110, 1143]]"
168,0.8785,0.8464,"[[1226, 13, 100], [5, 117, 30], [89, 107, 1144]]"
169,0.8785,0.8464,"[[1227, 15, 97], [5, 117, 30], [92, 105, 1143]]"
170,0.8785,0.8464,"[[1227, 16, 96], [5, 117, 30], [92, 105, 1143]]"
171,0.8799,0.8454,"[[1227, 14, 98], [5, 116, 31], [90, 102, 1148]]"
172,0.8813,0.8483,"[[1228, 14, 97], [5, 117, 30], [86, 104, 1150]]"
173,0.8803,0.8476,"[[1227, 15, 97], [5, 117, 30], [89, 103, 1148]]"
174,0.8806,0.8479,"[[1226, 15, 98], [5, 117, 30], [89, 101, 1150]]"
175,0.8813,0.8483,"[[1227, 14, 98], [5, 117, 30], [91, 98, 1151]]"
176,0.8810,0.8481,"[[1225, 17, 97], [5, 117, 30], [89, 99, 1152]]"
177,0.8827,0.8493,"[[1228, 15, 96], [5, 117, 30], [88, 98, 1154]]"
178,0.8831,0.8476,"[[1225, 15, 99], [5, 116, 31], [87, 94, 1159]]"
179,0.8785,0.8464,"[[1224, 15, 100], [5, 117, 30], [91, 103, 1146]]"
180,0.8820,0.8488,"[[1227, 15, 97], [5, 117, 30], [88, 99, 1153]]"
181,0.8824,0.8491,"[[1227, 15, 97], [5, 117, 30], [89, 97, 1154]]"
182,0.8817,0.8486,"[[1228, 16, 95], [5, 117, 30], [88, 101, 1151]]"
183,0.8813,0.8464,"[[1226, 14, 99], [5, 116, 31], [88, 99, 1153]]"
184,0.8813,0.8483,"[[1227, 13, 99], [5, 117, 30], [90, 99, 1151]]"
185,0.8848,0.8489,"[[1227, 13, 99], [5, 116, 31], [88, 90, 1162]]"
186,0.8834,0.8479,"[[1227, 16, 96], [5, 116, 31], [88, 94, 1158]]"
187,0.8838,0.8481,"[[1228, 15, 96], [5, 116, 31], [90, 92, 1158]]"
188,0.8831,0.8476,"[[1226, 16, 97], [5, 116, 31], [88, 94, 1158]]"
189,0.8824,0.8472,"[[1228, 17, 94], [5, 116, 31], [87, 99, 1154]]"
190,0.8817,0.8447,"[[1227, 15, 97], [5, 115, 32], [88, 98, 1154]]"
191,0.8831,0.8476,"[[1228, 17, 94], [5, 116, 31], [88, 96, 1156]]"
192,0.8827,0.8474,"[[1228, 16, 95], [5, 116, 31], [88, 97, 1155]]"
193,0.8813,0.8425,"[[1225, 17, 97], [6, 114, 32], [89, 95, 1156]]"
194,0.8827,0.8455,"[[1227, 16, 96], [5, 115, 32], [87, 96, 1157]]"
195,0.8841,0.8426,"[[1228, 17, 94], [6, 113, 33], [85, 93, 1162]]"
196,0.8813,0.8425,"[[1229, 16, 94], [5, 114, 33], [90, 98, 1152]]"
197,0.8813,0.8445,"[[1223, 17, 99], [5, 115, 32], [91, 92, 1157]]"
198,0.8788,0.8427,"[[1223, 18, 98], [5, 115, 32], [91, 99, 1150]]"
199,0.8810,0.8423,"[[1225, 18, 96], [5, 114, 33], [90, 95, 1155]]"
200,0.8810,0.8442,"[[1223, 16, 100], [5, 115, 32], [90, 94, 1156]]"
201,0.8806,0.8440,"[[1224, 18, 97], [5, 115, 32], [90, 96, 1154]]"
202,0.8841,0.8503,"[[1222, 16, 101], [5, 117, 30], [86, 90, 1164]]"
203,0.8827,0.8416,"[[1223, 18, 98], [5, 113, 34], [88, 89, 1163]]"
204,0.8824,0.8472,"[[1222, 17, 100], [5, 116, 31], [89, 91, 1160]]"
205,0.8795,0.8432,"[[1222, 18, 99], [5, 115, 32], [90, 97, 1153]]"
206,0.8820,0.8469,"[[1221, 18, 100], [5, 116, 31], [86, 94, 1160]]"
207,0.8817,0.8428,"[[1223, 17, 99], [5, 114, 33], [89, 92, 1159]]"
208,0.8810,0.8423,"[[1221, 18, 100], [5, 114, 33], [89, 92, 1159]]"
209,0.8795,0.8452,"[[1221, 19, 99], [5, 116, 31], [90, 97, 1153]]"
210,0.8824,0.8433,"[[1223, 18, 98], [5, 114, 33], [88, 91, 1161]]"
211,0.8803,0.8437,"[[1221, 17, 101], [5, 115, 32], [89, 95, 1156]]"
212,0.8813,0.8445,"[[1225, 18, 96], [5, 115, 32], [90, 95, 1155]]"
213,0.8817,0.8447,"[[1223, 17, 99], [5, 115, 32], [89, 93, 1158]]"
214,0.8838,0.8501,"[[1225, 18, 96], [5, 117, 30], [92, 88, 1160]]"
215,0.8838,0.8481,"[[1224, 18, 97], [5, 116, 31], [90, 88, 1162]]"
216,0.8838,0.8501,"[[1225, 17, 97], [5, 117, 30], [89, 91, 1160]]"
217,0.8863,0.8518,"[[1226, 17, 96], [5, 117, 30], [93, 81, 1166]]"
218,0.8852,0.8491,"[[1225, 16, 98], [5, 116, 31], [93, 82, 1165]]"
219,0.8859,0.8496,"[[1226, 16, 97], [5, 116, 31], [92, 82, 1166]]"
220,0.8841,0.8484,"[[1226, 17, 96], [5, 116, 31], [95, 84, 1161]]"
221,0.8870,0.8484,"[[1227, 16, 96], [5, 115, 32], [90, 81, 1169]]"
222,0.8884,0.8514,"[[1228, 17, 94], [5, 116, 31], [88, 81, 1171]]"
223,0.8866,0.8482,"[[1225, 18, 96], [5, 115, 32], [92, 78, 1170]]"
