Model,Recall
273,0.885552808194984
326,0.885552808194984
388,0.8859060402684564
438,0.8859060402684564
224,0.8859060402684564
288,0.8859060402684564
307,0.8859060402684564
237,0.8859060402684564
229,0.8859060402684564
219,0.8859060402684564
333,0.8859060402684564
381,0.8862592723419287
428,0.8862592723419287
328,0.8862592723419287
385,0.8862592723419287
217,0.8862592723419287
436,0.8862592723419287
231,0.8862592723419287
292,0.8862592723419287
345,0.8862592723419287
395,0.8862592723419287
296,0.8862592723419287
418,0.886612504415401
437,0.886612504415401
336,0.886612504415401
429,0.886612504415401
323,0.886612504415401
398,0.886612504415401
330,0.886612504415401
223,0.886612504415401
303,0.886612504415401
383,0.886612504415401
285,0.886612504415401
349,0.886612504415401
340,0.886612504415401
434,0.8869657364888732
329,0.8869657364888732
331,0.8869657364888732
399,0.8869657364888732
338,0.8869657364888732
485,0.8869657364888732
384,0.8869657364888732
404,0.8869657364888732
374,0.8869657364888732
221,0.8869657364888732
290,0.8869657364888732
427,0.8873189685623455
344,0.8873189685623455
334,0.8873189685623455
341,0.8873189685623455
284,0.8873189685623455
357,0.8873189685623455
363,0.8873189685623455
442,0.8873189685623455
409,0.8873189685623455
449,0.8873189685623455
393,0.8873189685623455
353,0.8873189685623455
354,0.8876722006358178
417,0.8876722006358178
373,0.8876722006358178
378,0.8876722006358178
405,0.8876722006358178
401,0.8876722006358178
348,0.8876722006358178
347,0.8876722006358178
445,0.8876722006358178
430,0.8876722006358178
337,0.8876722006358178
335,0.8876722006358178
283,0.8876722006358178
313,0.8876722006358178
321,0.8876722006358178
289,0.8876722006358178
293,0.8876722006358178
294,0.8876722006358178
375,0.88802543270929
411,0.88802543270929
396,0.88802543270929
308,0.88802543270929
379,0.88802543270929
446,0.88802543270929
297,0.88802543270929
474,0.88802543270929
484,0.88802543270929
311,0.88802543270929
287,0.88802543270929
487,0.88802543270929
282,0.88802543270929
447,0.88802543270929
346,0.88802543270929
413,0.88802543270929
370,0.88802543270929
432,0.88802543270929
433,0.88802543270929
325,0.88802543270929
320,0.88802543270929
423,0.88802543270929
318,0.88802543270929
414,0.88802543270929
421,0.88802543270929
364,0.88802543270929
419,0.88802543270929
314,0.88802543270929
367,0.88802543270929
416,0.88802543270929
420,0.88802543270929
360,0.88802543270929
452,0.8883786647827623
466,0.8883786647827623
468,0.8883786647827623
441,0.8883786647827623
424,0.8883786647827623
425,0.8883786647827623
426,0.8883786647827623
444,0.8883786647827623
490,0.8883786647827623
222,0.8883786647827623
392,0.8883786647827623
342,0.8883786647827623
361,0.8883786647827623
365,0.8883786647827623
366,0.8883786647827623
368,0.8883786647827623
319,0.8883786647827623
315,0.8883786647827623
372,0.8883786647827623
350,0.8883786647827623
300,0.8883786647827623
355,0.8883786647827623
299,0.8883786647827623
298,0.8883786647827623
382,0.8883786647827623
286,0.8883786647827623
391,0.8883786647827623
302,0.8887318968562345
475,0.8887318968562345
483,0.8887318968562345
440,0.8887318968562345
489,0.8887318968562345
324,0.8887318968562345
332,0.8887318968562345
491,0.8887318968562345
431,0.8887318968562345
469,0.8887318968562345
305,0.8887318968562345
304,0.8887318968562345
499,0.8887318968562345
400,0.8887318968562345
402,0.8887318968562345
422,0.8887318968562345
410,0.8887318968562345
371,0.8887318968562345
352,0.8890851289297068
465,0.8890851289297068
301,0.8890851289297068
377,0.8890851289297068
471,0.8890851289297068
472,0.8890851289297068
473,0.8890851289297068
408,0.8890851289297068
407,0.8890851289297068
479,0.8890851289297068
481,0.8890851289297068
482,0.8890851289297068
406,0.8890851289297068
295,0.8890851289297068
486,0.8890851289297068
403,0.8890851289297068
493,0.8890851289297068
458,0.8890851289297068
453,0.8890851289297068
351,0.8890851289297068
463,0.8890851289297068
415,0.8890851289297068
376,0.8890851289297068
356,0.8890851289297068
316,0.8890851289297068
448,0.8890851289297068
327,0.8890851289297068
362,0.8890851289297068
312,0.8890851289297068
397,0.8890851289297068
322,0.8894383610031791
317,0.8894383610031791
359,0.8894383610031791
343,0.8894383610031791
495,0.8894383610031791
496,0.8894383610031791
480,0.8894383610031791
443,0.8894383610031791
454,0.8894383610031791
309,0.8894383610031791
456,0.8894383610031791
310,0.8894383610031791
460,0.8894383610031791
476,0.8894383610031791
306,0.8894383610031791
455,0.8897915930766513
451,0.8897915930766513
412,0.8897915930766513
459,0.8897915930766513
477,0.8897915930766513
369,0.8897915930766513
450,0.8897915930766513
467,0.8897915930766513
488,0.8897915930766513
380,0.8901448251501236
358,0.8901448251501236
498,0.8901448251501236
462,0.8901448251501236
461,0.8904980572235959
492,0.8904980572235959
464,0.8908512892970681
457,0.8908512892970681
494,0.8908512892970681
497,0.8908512892970681
470,0.8912045213705404
478,0.8915577534440127
