Model,Precision
228,0.8913079654374865
469,0.8913100580475103
89,0.8913137554966648
119,0.8913209667607115
418,0.8913315122946058
70,0.8913729995418705
241,0.8913861297858197
394,0.8914011811607987
262,0.891448559181068
210,0.891448559181068
389,0.8914656969904325
90,0.891475729402187
408,0.891475729402187
124,0.8914994075240822
121,0.8914994075240822
326,0.8915070495632286
184,0.8915084072998677
219,0.8915474927017726
111,0.8915654873575016
281,0.8915654873575016
140,0.8916040669386941
116,0.8916057414417946
52,0.8916085074672829
411,0.8916085074672829
58,0.8916085074672829
289,0.8916127353233969
1,0.8916223182288399
449,0.8916353267827647
188,0.8916470614314211
61,0.8916814952482635
421,0.8916844159279265
422,0.8916844455778716
56,0.8917087585892198
391,0.8917107078894818
160,0.8917268785814843
63,0.8917274458384601
192,0.8917346653601639
419,0.8917381443093636
447,0.8917458997555272
301,0.8917465055870589
392,0.8917564468400634
298,0.8917664616985335
387,0.8917761604035339
406,0.8917764136117888
161,0.8917938356036729
238,0.8918215802094112
113,0.891824512650533
395,0.8918404575873434
279,0.8918624047445806
179,0.8918808243767393
388,0.8918864283297804
305,0.8919137915687891
386,0.8919467589454193
309,0.8919954491857062
329,0.8919954491857062
450,0.8920009890224554
246,0.892002915125462
283,0.8920154809524931
398,0.8920188236328541
69,0.8920271258074967
380,0.8920271258074967
72,0.8920411823834613
259,0.8920472272355275
115,0.8920522637370006
276,0.8920554579533012
129,0.8920554579533012
50,0.8920554579533012
127,0.8920925939327642
28,0.8921036453353081
84,0.8921054962850433
254,0.8921065903177147
322,0.8921108640476845
21,0.8921170648297024
436,0.8921271081228408
244,0.8921364782959011
390,0.8921520832385835
402,0.892162501926035
330,0.8921637810991216
313,0.8921710624853937
195,0.8921794613463536
200,0.8921950336823548
6,0.8921967755202391
142,0.8922139920839762
86,0.8922485184907963
263,0.8922521235724473
211,0.8922536728552288
183,0.8922536728552288
189,0.892254146726453
496,0.8922770907696115
240,0.8923097691819026
152,0.8923097691819026
243,0.8923123193069697
440,0.8923124176851348
226,0.8923124176851348
169,0.8923505375838888
123,0.8923541384845239
314,0.8923576841554716
438,0.8923672074815676
168,0.8923724146986838
139,0.8923727656095647
393,0.8923774351309606
57,0.8923774351309606
484,0.892406476059551
261,0.8924196978767227
267,0.8924225223878998
216,0.8924252228705385
483,0.8924372119163179
146,0.8924659759607425
306,0.8924659759607425
274,0.8924789455685062
256,0.8924789455685062
294,0.8924789455685062
234,0.892484655651846
284,0.8924960239215561
437,0.8924966439531673
278,0.8925083074001076
429,0.892512604915632
479,0.8925220280756173
266,0.8925303235625155
128,0.8925369662232545
269,0.8925369677888962
174,0.8925400666712937
416,0.8925636347270134
474,0.8925782572026929
260,0.8925869341386844
185,0.8925869341386844
176,0.8925869341386844
372,0.8925873529946958
381,0.8925939160928659
286,0.8926099648475848
355,0.8926099648475848
417,0.8926237269457254
62,0.8926237269457254
233,0.8926269539774785
232,0.8926269539774785
181,0.8926269539774785
251,0.892682551519991
235,0.892682551519991
172,0.8926828824728489
480,0.8927313785492871
171,0.8927351484772993
7,0.8927357504181371
245,0.8927407168739274
164,0.8927430094764004
403,0.8927664144279829
44,0.8927707784973276
196,0.8927820319337169
250,0.8927869835354639
22,0.8927926008314861
280,0.8927926008314861
297,0.8927986145790735
448,0.8927986145790735
311,0.8927986145790735
318,0.8927986145790735
14,0.8928004874332413
299,0.8928248417827832
202,0.89285173235135
268,0.89285173235135
194,0.8928588815949231
332,0.8928588815949231
323,0.8928588815949231
315,0.8928679972958167
130,0.8928830178014809
204,0.8928830178014809
333,0.8929018465766502
300,0.8929025057333444
270,0.8929025057333444
248,0.8929025057333444
230,0.8929025057333444
459,0.8929367626378166
143,0.8929432429468247
264,0.8929510705379745
324,0.8929524801924467
258,0.8929599484777649
162,0.8929786356161986
365,0.892997555897748
186,0.893000668988608
441,0.893005074088025
304,0.8930070995163372
29,0.8930070995163372
312,0.8930189935640706
109,0.8930189935640706
157,0.8930406564451476
339,0.8930523745056752
321,0.8930565297912518
362,0.8930735797279731
335,0.8930796480242618
155,0.8930947706216229
229,0.8931129402064956
252,0.8931174413040321
471,0.8931235433668655
30,0.8931259325064529
173,0.8931490340562186
213,0.893158879170541
482,0.8931655019295593
242,0.8931668646833391
201,0.893172440107687
287,0.893172440107687
445,0.893172440107687
187,0.893172440107687
473,0.8931875354026819
352,0.8932149334735028
225,0.8932249519080225
221,0.8932249519080225
255,0.8932249519080225
327,0.8932335431277734
8,0.8932335431277734
26,0.8932548773653343
485,0.8932555351814376
103,0.8932673436811989
478,0.8932749554525007
290,0.8932751196364116
198,0.8932751196364116
166,0.893277177233644
20,0.893284642282589
296,0.893284642282589
145,0.8932969467511388
207,0.8933118750641715
134,0.8933151720128762
153,0.8933153036591167
24,0.8933184666662118
108,0.893323079097003
218,0.893323079097003
357,0.893323079097003
486,0.8933318312987721
277,0.8933333963045474
307,0.8933333963045474
12,0.8933333963045474
257,0.8933333963045474
407,0.8933367706391483
151,0.8933562913543067
45,0.893366750923913
292,0.8933689594135041
182,0.8933709715931406
