Model,ROC_AUC_Score
330,0.9424100484371116
89,0.9424103246590834
159,0.9424193354842472
157,0.9424207294274276
334,0.9424218966485914
311,0.9424219669263056
127,0.9424364471909548
180,0.9424575152274084
375,0.9424603422248452
3,0.9424622268898032
252,0.9424692784945208
30,0.9424695027720954
116,0.9424766460433964
416,0.9424828842599628
128,0.9424857222573896
176,0.9424870636450624
171,0.9424880041442096
317,0.9424967974140148
315,0.9424971362748188
484,0.942498011079581
470,0.942499855411242
309,0.9425040696296436
238,0.9425055931282622
120,0.942509769457809
259,0.9425182370056872
380,0.9425331872143546
209,0.94253583698973
314,0.9425397395417472
188,0.9425398379305472
436,0.9425430456498608
164,0.9425434679272556
287,0.9425499133103008
104,0.942551051198158
472,0.9425524811968616
417,0.9425529016409248
215,0.9425540621398726
187,0.942558361913752
119,0.9425682435714592
447,0.9425785511732246
251,0.942584560223332
134,0.9425848309453088
244,0.9425850497228884
181,0.9425862847773242
467,0.9425882360533326
248,0.9425949212972714
421,0.9425979331556515
424,0.9426014494857968
279,0.9426087932013608
260,0.9426105153109106
210,0.9426121200872334
323,0.9426129750309028
286,0.942619240747444
460,0.9426265924074452
295,0.9426291291273672
122,0.9426324389021442
463,0.9426347525667133
239,0.9426347770111356
322,0.942636738064913
376,0.9426389863406524
138,0.942641230338618
131,0.9426420693934128
262,0.9426423291153996
111,0.9426437426141178
201,0.9426465329449212
474,0.942648575276403
49,0.9426536768273333
44,0.9426542225490604
434,0.9426578910457344
285,0.9426706864785775
236,0.9426717834220276
270,0.9426728070322103
297,0.9426738776979064
200,0.9426742131976024
302,0.9426792328597178
462,0.942680493580797
318,0.9426813558577928
195,0.9426872652968796
233,0.9426889611286752
461,0.942692162125773
438,0.9427054446137304
440,0.9427169457144138
83,0.9427177371025852
320,0.9427215388213602
319,0.942721874321056
321,0.9427312316459056
442,0.942735699475188
61,0.942739074027684
204,0.9427452059110134
42,0.9427521019880944
431,0.9427538311254152
178,0.9427544019026756
112,0.9427545363469982
242,0.9427632770612954
191,0.9427678096682972
2,0.942775342217023
271,0.9427754283836116
226,0.942787106095246
332,0.9427905882032
422,0.9427920548685368
184,0.9427923903682328
459,0.9427973324193074
310,0.9427997218615856
179,0.9428013688045368
368,0.9428033378027516
228,0.9428045856905088
78,0.942805234995476
189,0.9428058201338342
432,0.9428061754946232
66,0.9428129426273764
437,0.9428202814540558
283,0.9428246356167748
303,0.942825114116341
225,0.9428327468871984
278,0.9428389820482116
218,0.9428409033798032
38,0.942841663601336
298,0.9428435617107264
476,0.9428582937529248
183,0.942861266194674
235,0.9428622464160078
22,0.9428627786933028
324,0.9428646095805316
478,0.9428751420709824
27,0.9428922403332576
269,0.9428935322209752
208,0.9428956497190556
265,0.942897712828296
194,0.9429051054327044
219,0.9429061443206512
276,0.9429065390980712
425,0.9429107209276132
125,0.9429130462032824
84,0.9429247847204176
190,0.9429260255804036
428,0.942933764684498
203,0.942935041905562
142,0.9429402076231008
175,0.9429402259564174
304,0.9429405107339368
465,0.9429473099499944
121,0.9429498827254396
280,0.9429554401648454
82,0.9429613071317484
266,0.9429713327059916
185,0.9429747873139706
355,0.9429753972023066
172,0.9429766017012144
250,0.942978868921381
477,0.9429801360591212
247,0.9429811214748942
466,0.9429875595246128
145,0.9429888624123204
143,0.9429949985734236
53,0.9429968129606672
99,0.9430052407863596
130,0.9430064575074786
273,0.9430071419513024
129,0.9430078068395884
272,0.9430080152282884
108,0.9430109632256156
150,0.943014874944291
213,0.9430149024442664
299,0.9430195676622588
282,0.9430215562160112
155,0.9430300237638894
268,0.9430302400970266
165,0.9430320673175924
258,0.9430331868721328
374,0.9430340057602792
277,0.9430402415324032
433,0.9430451068891031
212,0.943046087415992
118,0.9430473921370311
367,0.943050097523467
423,0.9430653416763124
307,0.9430681472848798
199,0.943078626608712
249,0.9430816607726276
139,0.9430828194382438
202,0.9430925089016808
229,0.9430963799815044
170,0.9430987070905056
177,0.9431006180332174
373,0.9431093043586752
137,0.9431113075790812
480,0.9431117830230944
338,0.9431137489657564
284,0.943116445185534
186,0.9431233198737456
325,0.94314065310803
427,0.9431514428760251
109,0.9431592412578436
110,0.9431628180879338
468,0.9431668031398762
124,0.9431676898612944
275,0.9431715820244324
18,0.9431753733543284
216,0.9431803355720512
123,0.9431830947362162
115,0.9431926622830974
308,0.9431965348906972
205,0.9432020367190422
443,0.9432094195456818
197,0.9432121560987562
196,0.9432160543729996
264,0.943226570363465
234,0.943229673888429
281,0.9432335351904836
358,0.943239668296034
