Model,Accuracy,Precision,Recall,F1 Score,ROC AUC Score,Confusion Matrix
182,0.8950900741787354,0.8933709715931406,0.8950900741787354,0.89062212140619,0.9433088093444572,"[[1236, 1, 102], [6, 63, 83], [90, 15, 1235]]"
183,0.8940303779583186,0.8922536728552288,0.8940303779583186,0.8894321232421806,0.942861266194674,"[[1235, 1, 103], [6, 62, 84], [91, 15, 1234]]"
184,0.8933239138113741,0.8915084072998677,0.8933239138113741,0.8887253320500738,0.9427923903682328,"[[1235, 1, 103], [6, 62, 84], [93, 15, 1232]]"
185,0.8940303779583186,0.8925869341386844,0.8940303779583186,0.8895448460924594,0.9429747873139706,"[[1234, 1, 104], [6, 63, 83], [92, 14, 1234]]"
186,0.8947368421052632,0.893000668988608,0.8947368421052632,0.8901388554513363,0.9431233198737456,"[[1235, 1, 103], [6, 62, 84], [89, 15, 1236]]"
187,0.8947368421052632,0.893172440107687,0.8947368421052632,0.8899578557535954,0.942558361913752,"[[1235, 1, 103], [6, 61, 85], [89, 14, 1237]]"
188,0.8936771458848464,0.8916470614314211,0.8936771458848464,0.8889867327007759,0.9425398379305472,"[[1235, 1, 103], [5, 61, 86], [90, 16, 1234]]"
189,0.8940303779583186,0.892254146726453,0.8940303779583186,0.8895618479151308,0.9428058201338342,"[[1236, 1, 102], [6, 63, 83], [93, 15, 1232]]"
190,0.8950900741787354,0.8936481665131625,0.8950900741787354,0.8905951223264109,0.9429260255804036,"[[1235, 1, 103], [6, 63, 83], [90, 14, 1236]]"
191,0.89579653832568,0.8941699745441234,0.89579653832568,0.8914656844915266,0.9427678096682972,"[[1236, 1, 102], [6, 64, 82], [89, 15, 1236]]"
192,0.8933239138113741,0.8917346653601639,0.8933239138113741,0.8886882892891411,0.9434142662488432,"[[1235, 1, 103], [6, 62, 84], [94, 14, 1232]]"
193,0.8954433062522077,0.8941269262037943,0.8954433062522077,0.8910953897691017,0.9433523919160536,"[[1234, 1, 104], [6, 64, 82], [89, 14, 1237]]"
194,0.8943836100317909,0.8928588815949231,0.8943836100317909,0.8896142450814818,0.9429051054327044,"[[1234, 1, 104], [6, 61, 85], [89, 14, 1237]]"
195,0.8940303779583186,0.8921794613463536,0.8940303779583186,0.889743984360314,0.9426872652968796,"[[1234, 2, 103], [6, 64, 82], [92, 15, 1233]]"
196,0.8943836100317909,0.8927820319337169,0.8943836100317909,0.889945288146912,0.9432160543729996,"[[1234, 1, 104], [5, 63, 84], [90, 15, 1235]]"
197,0.89579653832568,0.89405939166629,0.89579653832568,0.8913192726721909,0.9432121560987562,"[[1237, 1, 101], [6, 63, 83], [89, 15, 1236]]"
198,0.8947368421052632,0.8932751196364116,0.8947368421052632,0.8902418731304768,0.9437541903850896,"[[1235, 1, 103], [6, 63, 83], [91, 14, 1235]]"
199,0.89579653832568,0.894286623199013,0.89579653832568,0.8911514645938398,0.943078626608712,"[[1236, 1, 102], [6, 62, 84], [88, 14, 1238]]"
200,0.8940303779583186,0.8921950336823548,0.8940303779583186,0.8892897820202117,0.9426742131976024,"[[1235, 1, 103], [6, 61, 85], [90, 15, 1235]]"
201,0.8947368421052632,0.893172440107687,0.8947368421052632,0.8899578557535954,0.9426465329449212,"[[1235, 1, 103], [6, 61, 85], [89, 14, 1237]]"
202,0.8943836100317909,0.89285173235135,0.8943836100317909,0.8897480863807762,0.9430925089016808,"[[1235, 1, 103], [6, 62, 84], [91, 14, 1235]]"
203,0.8950900741787354,0.8933709715931406,0.8950900741787354,0.89062212140619,0.942935041905562,"[[1236, 1, 102], [6, 63, 83], [90, 15, 1235]]"
204,0.8947368421052632,0.8928830178014809,0.8947368421052632,0.8899866935154016,0.9427452059110134,"[[1236, 1, 102], [6, 61, 85], [89, 15, 1236]]"
205,0.8954433062522077,0.8938031797613946,0.8954433062522077,0.8909850862756084,0.9432020367190422,"[[1235, 1, 103], [6, 63, 83], [88, 15, 1237]]"
206,0.8968562345460968,0.8953981502149668,0.8968562345460968,0.8923424456293483,0.9438055817273836,"[[1237, 1, 101], [6, 63, 83], [87, 14, 1239]]"
207,0.8950900741787354,0.8933118750641715,0.8950900741787354,0.8901352965587637,0.9422067967325044,"[[1238, 1, 100], [6, 60, 86], [90, 14, 1236]]"
208,0.89579653832568,0.8944417013422464,0.89579653832568,0.8914393331789404,0.9428956497190556,"[[1235, 1, 103], [6, 64, 82], [89, 14, 1237]]"
209,0.8950900741787354,0.8936481665131625,0.8950900741787354,0.8905951223264109,0.94253583698973,"[[1235, 1, 103], [6, 63, 83], [90, 14, 1236]]"
210,0.8933239138113741,0.891448559181068,0.8933239138113741,0.8885830469940622,0.9426121200872334,"[[1235, 1, 103], [6, 61, 85], [92, 15, 1233]]"
211,0.8940303779583186,0.8922536728552288,0.8940303779583186,0.8894321232421806,0.9423802182974907,"[[1235, 1, 103], [6, 62, 84], [91, 15, 1234]]"
212,0.8954433062522077,0.8937494056729509,0.8954433062522077,0.890845530973233,0.943046087415992,"[[1235, 1, 103], [6, 62, 84], [87, 15, 1238]]"
213,0.8947368421052632,0.893158879170541,0.8947368421052632,0.8905488261015864,0.9430149024442664,"[[1235, 1, 103], [6, 65, 81], [92, 15, 1233]]"
214,0.8968562345460968,0.8954903703349072,0.8968562345460968,0.8926155257812202,0.9434523243810036,"[[1237, 1, 101], [6, 65, 81], [89, 14, 1237]]"
215,0.89579653832568,0.8941176873134162,0.89579653832568,0.8913288968431718,0.9425540621398726,"[[1236, 1, 102], [6, 63, 83], [88, 15, 1237]]"
216,0.8940303779583186,0.8924252228705385,0.8940303779583186,0.889251423970917,0.9431803355720512,"[[1235, 1, 103], [6, 61, 85], [91, 14, 1235]]"
